n,groups,split,source,col
1,2090517,train,S1,business_address
2,24322,train,S1,business_address
3,6277,train,S1,business_address
4,3990,train,S1,business_address
5,2566,train,S1,business_address
6,1509,train,S1,business_address
7,830,train,S1,business_address
8,337,train,S1,business_address
9,166,train,S1,business_address
10,50,train,S1,business_address
11,26,train,S1,business_address
12,10,train,S1,business_address
13,5,train,S1,business_address
14,1,train,S1,business_address
1,3915789,train,S2,business_address
2,343312,train,S2,business_address
3,60930,train,S2,business_address
4,11456,train,S2,business_address
5,3081,train,S2,business_address
6,1301,train,S2,business_address
7,662,train,S2,business_address
8,316,train,S2,business_address
9,190,train,S2,business_address
10,92,train,S2,business_address
11,52,train,S2,business_address
12,40,train,S2,business_address
13,17,train,S2,business_address
14,11,train,S2,business_address
15,5,train,S2,business_address
16,4,train,S2,business_address
17,1,train,S2,business_address
18,2,train,S2,business_address
1,4249874,train,S3,business_address
2,316516,train,S3,business_address
3,51452,train,S3,business_address
4,9395,train,S3,business_address
5,2642,train,S3,business_address
6,1275,train,S3,business_address
7,717,train,S3,business_address
8,350,train,S3,business_address
9,176,train,S3,business_address
10,116,train,S3,business_address
11,74,train,S3,business_address
12,57,train,S3,business_address
13,34,train,S3,business_address
14,20,train,S3,business_address
15,13,train,S3,business_address
16,8,train,S3,business_address
17,16,train,S3,business_address
18,7,train,S3,business_address
19,2,train,S3,business_address
20,6,train,S3,business_address
21,6,train,S3,business_address
22,1,train,S3,business_address
23,3,train,S3,business_address
25,1,train,S3,business_address
26,2,train,S3,business_address
29,1,train,S3,business_address
1,1361436,train,S1,business_name
2,99182,train,S1,business_name
3,31299,train,S1,business_name
4,14056,train,S1,business_name
5,7898,train,S1,business_name
6,5126,train,S1,business_name
7,3703,train,S1,business_name
8,2696,train,S1,business_name
9,1863,train,S1,business_name
10,1272,train,S1,business_name
11,852,train,S1,business_name
12,553,train,S1,business_name
13,387,train,S1,business_name
14,249,train,S1,business_name
15,151,train,S1,business_name
16,125,train,S1,business_name
17,90,train,S1,business_name
18,78,train,S1,business_name
19,76,train,S1,business_name
20,102,train,S1,business_name
21,118,train,S1,business_name
22,113,train,S1,business_name
23,140,train,S1,business_name
24,169,train,S1,business_name
25,211,train,S1,business_name
26,222,train,S1,business_name
27,300,train,S1,business_name
28,301,train,S1,business_name
29,363,train,S1,business_name
30,374,train,S1,business_name
31,398,train,S1,business_name
32,387,train,S1,business_name
33,380,train,S1,business_name
34,400,train,S1,business_name
35,390,train,S1,business_name
36,385,train,S1,business_name
37,345,train,S1,business_name
38,324,train,S1,business_name
39,281,train,S1,business_name
40,258,train,S1,business_name
41,208,train,S1,business_name
42,182,train,S1,business_name
43,157,train,S1,business_name
44,121,train,S1,business_name
45,128,train,S1,business_name
46,110,train,S1,business_name
47,75,train,S1,business_name
48,62,train,S1,business_name
49,58,train,S1,business_name
50,57,train,S1,business_name
51,35,train,S1,business_name
52,38,train,S1,business_name
53,35,train,S1,business_name
54,28,train,S1,business_name
55,38,train,S1,business_name
56,30,train,S1,business_name
57,35,train,S1,business_name
58,17,train,S1,business_name
59,22,train,S1,business_name
60,22,train,S1,business_name
61,23,train,S1,business_name
62,15,train,S1,business_name
63,22,train,S1,business_name
64,27,train,S1,business_name
65,21,train,S1,business_name
66,12,train,S1,business_name
67,13,train,S1,business_name
68,28,train,S1,business_name
69,16,train,S1,business_name
70,17,train,S1,business_name
71,20,train,S1,business_name
72,20,train,S1,business_name
73,20,train,S1,business_name
74,20,train,S1,business_name
75,23,train,S1,business_name
76,26,train,S1,business_name
77,15,train,S1,business_name
78,16,train,S1,business_name
79,15,train,S1,business_name
80,12,train,S1,business_name
81,15,train,S1,business_name
82,19,train,S1,business_name
83,16,train,S1,business_name
84,18,train,S1,business_name
85,13,train,S1,business_name
86,21,train,S1,business_name
87,15,train,S1,business_name
88,19,train,S1,business_name
89,21,train,S1,business_name
90,18,train,S1,business_name
91,10,train,S1,business_name
92,5,train,S1,business_name
93,7,train,S1,business_name
94,9,train,S1,business_name
95,12,train,S1,business_name
96,11,train,S1,business_name
97,11,train,S1,business_name
98,4,train,S1,business_name
99,9,train,S1,business_name
100,4,train,S1,business_name
101,6,train,S1,business_name
102,8,train,S1,business_name
103,7,train,S1,business_name
104,6,train,S1,business_name
105,3,train,S1,business_name
106,2,train,S1,business_name
107,3,train,S1,business_name
108,4,train,S1,business_name
109,1,train,S1,business_name
110,1,train,S1,business_name
111,1,train,S1,business_name
112,2,train,S1,business_name
114,2,train,S1,business_name
115,5,train,S1,business_name
118,1,train,S1,business_name
121,1,train,S1,business_name
125,1,train,S1,business_name
126,1,train,S1,business_name
130,1,train,S1,business_name
159,1,train,S1,business_name
172,1,train,S1,business_name
175,1,train,S1,business_name
182,1,train,S1,business_name
185,1,train,S1,business_name
188,1,train,S1,business_name
191,1,train,S1,business_name
197,1,train,S1,business_name
198,2,train,S1,business_name
199,1,train,S1,business_name
202,1,train,S1,business_name
204,1,train,S1,business_name
205,1,train,S1,business_name
207,1,train,S1,business_name
208,1,train,S1,business_name
209,1,train,S1,business_name
215,1,train,S1,business_name
216,1,train,S1,business_name
218,1,train,S1,business_name
220,1,train,S1,business_name
222,1,train,S1,business_name
251,1,train,S1,business_name
253,1,train,S1,business_name
1,4162230,train,S2,business_name
2,145547,train,S2,business_name
3,37694,train,S2,business_name
4,18033,train,S2,business_name
5,10499,train,S2,business_name
6,6691,train,S2,business_name
7,4425,train,S2,business_name
8,3006,train,S2,business_name
9,2046,train,S2,business_name
10,1568,train,S2,business_name
11,1151,train,S2,business_name
12,956,train,S2,business_name
13,751,train,S2,business_name
14,644,train,S2,business_name
15,578,train,S2,business_name
16,507,train,S2,business_name
17,440,train,S2,business_name
18,399,train,S2,business_name
19,428,train,S2,business_name
20,377,train,S2,business_name
21,380,train,S2,business_name
22,379,train,S2,business_name
23,352,train,S2,business_name
24,334,train,S2,business_name
25,347,train,S2,business_name
26,293,train,S2,business_name
27,274,train,S2,business_name
28,227,train,S2,business_name
29,195,train,S2,business_name
30,174,train,S2,business_name
31,123,train,S2,business_name
32,123,train,S2,business_name
33,104,train,S2,business_name
34,78,train,S2,business_name
35,59,train,S2,business_name
36,42,train,S2,business_name
37,32,train,S2,business_name
38,33,train,S2,business_name
39,32,train,S2,business_name
40,24,train,S2,business_name
41,19,train,S2,business_name
42,18,train,S2,business_name
43,17,train,S2,business_name
44,13,train,S2,business_name
45,22,train,S2,business_name
46,16,train,S2,business_name
47,10,train,S2,business_name
48,15,train,S2,business_name
49,11,train,S2,business_name
50,16,train,S2,business_name
51,18,train,S2,business_name
52,13,train,S2,business_name
53,15,train,S2,business_name
54,7,train,S2,business_name
55,7,train,S2,business_name
56,8,train,S2,business_name
57,5,train,S2,business_name
58,14,train,S2,business_name
59,12,train,S2,business_name
60,6,train,S2,business_name
61,7,train,S2,business_name
62,12,train,S2,business_name
63,8,train,S2,business_name
64,5,train,S2,business_name
65,4,train,S2,business_name
66,7,train,S2,business_name
67,7,train,S2,business_name
68,9,train,S2,business_name
69,6,train,S2,business_name
