split,source,key,non_null_rows,distinct,repeated_values,rows_in_repeated,max_group,pct_rows_in_repeated
train,S1,name,2206821,1539229,177793,845385,253,38.31
train,S2,name,5034616,4402009,239779,872386,320,17.33
train,S3,name,5285603,4651609,258276,892270,421,16.88
test,S1,name,1732544,1238867,129955,623632,205,36.0
test,S2,name,4887273,4311041,223103,799335,302,16.36
test,S3,name,5082316,4521929,238156,798543,387,15.71
train,S1,address,2206821,2130606,40089,116304,14,5.27
train,S2,address,4865649,4337261,421472,949860,18,19.52
train,S3,address,5109687,4632764,382890,859813,29,16.83
test,S1,address,1732544,1677483,31396,86457,99,4.99
test,S2,address,4757865,4224783,444698,977780,81,20.55
test,S3,address,4946218,4456435,404756,894539,89,18.09
train,S1,name+address,2206821,2206821,0,0,1,0.0
train,S2,name+address,4865649,4839961,24875,50563,5,1.04
train,S3,name+address,5109687,5091046,18162,36803,4,0.72
test,S1,name+address,1732544,1732544,0,0,1,0.0
test,S2,name+address,4757865,4735397,21737,44205,5,0.93
test,S3,name+address,4946218,4930108,15680,31790,4,0.64
