split,country,source,rows,ANY_legal_form,legal_form_at_START,llc,inc,incorporated,corp,corporation,co,company,ltd,limited,pvt,private,llp,lp,pllc,plc,sarl,sas/sasu,sa,eurl,sci,snc,gmbh,dba/aka,limited/private (Devanagari)
train,India,S1,883188,84.29,0.04,0.0,0.0,0.0,0.77,0.79,2.18,0.78,16.52,59.08,13.75,48.91,4.38,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0
train,US,S1,1323633,53.28,0.01,28.53,18.0,0.0,2.11,0.56,0.63,0.52,0.2,0.04,0.0,0.03,0.08,1.25,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,India,S2,2017799,66.47,4.18,0.0,0.0,0.0,0.99,1.02,2.05,1.02,15.21,26.14,9.38,26.14,3.14,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,9.42
train,US,S2,3016817,48.3,3.37,19.85,13.27,0.87,4.04,1.39,3.26,0.37,3.03,0.04,0.0,0.02,0.04,1.59,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,India,S3,2115547,69.22,4.69,0.0,0.0,0.0,0.94,0.97,2.11,0.96,16.14,31.77,10.42,30.21,3.58,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,1.13,5.04
train,US,S3,3170056,48.05,3.2,20.11,13.25,0.69,3.8,1.19,3.13,0.37,2.72,0.04,0.0,0.02,0.04,1.44,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0
test,France,S1,259452,67.31,0.06,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,28.32,24.28,4.92,6.54,3.22,0.0,0.0,0.0,0.0
test,India,S1,809986,84.26,0.04,0.0,0.0,0.0,0.78,0.83,2.18,0.76,16.46,59.06,13.69,48.93,4.38,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
test,US,S1,663106,53.24,0.01,28.51,17.98,0.0,2.1,0.56,0.63,0.52,0.2,0.04,0.0,0.04,0.08,1.26,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,France,S2,703378,55.2,5.21,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,20.93,18.49,4.89,5.9,3.89,1.06,0.0,0.0,0.0
test,India,S2,2312565,67.57,4.37,0.0,0.0,0.0,0.99,1.02,2.06,0.98,15.14,27.29,9.4,25.97,3.61,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,9.4
test,US,S2,1871330,50.25,3.66,19.16,13.32,0.79,4.97,1.32,4.22,0.37,4.05,0.04,0.0,0.03,0.04,1.51,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,France,S3,731615,54.66,5.02,0.0,0.0,0.0,0.0,0.01,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,20.65,18.24,4.8,5.78,3.81,1.0,0.0,0.96,0.0
test,India,S3,2405000,70.8,4.95,0.0,0.0,0.0,0.94,0.96,2.11,0.94,16.14,33.11,10.48,30.32,4.11,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.89,5.07
test,US,S3,1945701,49.96,3.53,19.47,13.35,0.62,4.7,1.14,4.09,0.37,3.73,0.04,0.0,0.03,0.04,1.36,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0
