split,source,country,rows,Devanagari,Bengali,Gurmukhi,Gujarati,Oriya,Tamil,Telugu,Kannada,Malayalam
train,S1,India,883188,0,0,0,0,0,0,0,0,0
train,S1,US,1323633,0,0,0,0,0,0,0,0,0
train,S2,India,2017799,269424,30723,6688,30929,7493,33781,39323,37211,18773
train,S2,US,3016817,0,0,0,0,0,0,0,0,0
train,S3,India,2115547,158003,18144,4106,18020,4317,19790,23033,21995,11116
train,S3,US,3170056,0,0,0,0,0,0,0,0,0
test,S1,France,259452,0,0,0,0,0,0,0,0,0
test,S1,India,809986,0,0,0,0,0,0,0,0,0
test,S1,US,663106,0,0,0,0,0,0,0,0,0
test,S2,France,703378,0,0,0,0,0,0,0,0,0
test,S2,India,2312565,309103,35546,7903,35321,8670,38953,45171,43906,22033
test,S2,US,1871330,0,0,0,0,0,0,0,0,0
test,S3,France,731615,0,0,0,0,0,0,0,0,0
test,S3,India,2405000,181068,20872,4634,20570,5062,22808,26698,25832,13095
test,S3,US,1945701,0,0,0,0,0,0,0,0,0
