term,form,France-S1,France-S2,France-S3,India-S1,India-S2,India-S3,US-S1,US-S2,US-S3
street,full,0.0,0.0,0.0,4.07,3.61,2.82,20.66,9.17,9.73
road,full,0.0,0.0,0.0,24.39,21.61,16.75,18.68,8.5,8.95
avenue,full,11.94,6.74,6.98,0.91,0.81,0.64,13.69,6.1,6.45
drive,full,0.0,0.0,0.0,0.08,0.07,0.06,16.69,7.4,7.84
boulevard,full,3.59,2.06,2.1,0.02,0.02,0.02,1.63,0.73,0.77
lane,full,0.0,0.0,0.0,1.51,1.35,1.06,7.14,3.17,3.36
suite,full,0.0,0.0,0.0,0.17,0.16,0.13,0.21,0.0,0.17
apartment,full,0.0,0.0,0.0,1.36,1.21,0.96,1.4,0.0,1.11
building,full,0.0,0.0,0.0,2.52,2.28,1.85,0.05,0.0,0.12
near,full,0.0,0.0,0.0,6.44,5.66,4.3,0.0,0.0,0.0
opposite,full,0.0,0.0,0.0,0.51,0.45,0.34,0.0,0.0,0.0
number,full,0.0,0.0,0.0,0.22,0.2,0.18,0.0,0.0,0.0
district,full,0.0,0.0,0.0,0.41,0.36,0.29,0.03,0.03,0.52
rue (FR),full,65.82,39.48,40.62,0.0,0.0,0.0,0.01,0.01,0.01
boulevard (FR bd),full,3.59,2.06,2.1,0.02,0.02,0.02,1.63,0.73,0.77
street,abbr,0.05,1.79,1.72,0.78,0.71,0.56,0.7,10.96,10.48
road,abbr,0.04,0.04,0.04,1.76,1.59,1.25,0.3,10.33,9.87
avenue,abbr,0.85,5.63,5.41,0.02,0.02,0.02,0.23,7.69,7.34
drive,abbr,0.01,0.01,0.01,0.62,0.55,0.44,0.21,9.38,8.95
boulevard,abbr,0.0,0.44,0.43,0.0,0.0,0.0,0.02,0.89,0.85
lane,abbr,0.0,0.0,0.0,0.02,0.02,0.01,0.08,3.96,3.8
suite,abbr,0.04,0.04,0.04,0.0,0.0,0.0,0.2,0.0,0.16
apartment,abbr,0.1,0.12,0.12,0.4,0.37,0.29,1.22,0.0,0.96
building,abbr,0.0,0.0,0.0,0.93,0.84,0.69,0.43,0.0,0.26
near,abbr,0.0,0.0,0.0,2.22,1.96,1.47,0.0,0.0,0.0
opposite,abbr,0.0,0.0,0.0,3.42,3.01,2.26,0.01,0.01,0.01
number,abbr,0.0,6.95,6.62,40.88,47.41,45.16,0.0,0.01,0.01
district,abbr,0.0,0.0,0.0,0.62,0.57,0.5,0.0,0.0,0.0
rue (FR),abbr,0.02,26.19,25.09,2.03,1.89,1.57,0.06,0.05,0.06
boulevard (FR bd),abbr,0.76,1.7,1.65,0.01,0.02,0.02,0.0,0.0,0.0
