pattern,entity_id,country,business_address
landmark (near/opp/behind...),S1-505869859,India,"Ff-104, Meera Mana Arcade, Beside Krupa Petrol Pump, Ellisbridge, Ahmedabad, Gujarat"
landmark (near/opp/behind...),S1-187058094,India,"Indochem House 8 Sundarvansociety Opp Gujarat Vidyapith Ushmanpura Ashram Road, Gujarat, Ahmedabad"
landmark (near/opp/behind...),S2-414010221,India,"ADITYA PLAZA. NR. KARNAVATI APPARTMENTS., JODHPUR, SATELLITE, AHEMEDABAD, 310, ગુજરાત"
landmark (near/opp/behind...),S2-913017158,India,"ગુજરાત, DOOR NO 115 ARCHER HOUSE, OPP.AGETA, GURUKUL ROAD, AHMADABAD CITY"
landmark (near/opp/behind...),S3-130163447,India,"C/o Opp. Bhankhariya Bus, Stand, 1St Floor, Prantij, Himatnagar, ગુજરાત"
landmark (near/opp/behind...),S3-878325319,India,"Opposite Gujarat Metal Cast Village Dunia, Halol Godhra Road, Halol, Panchmahal, Gujarat"
care-of (c/o s/o w/o d/o),S1-982210261,India,"C/O Dwarkadhis Enterprise, C.M. Palace, Ist Floor, Shop 3, Vill: Gondal(Mog), Gondal, Rajkot, Gondal, Rajkot, Gujarat"
care-of (c/o s/o w/o d/o),S1-315325465,India,"Sri Arbind Kumar S/O Sri Shiv Narayan Rai Mahabir Nagar 70 Fit Road Gardanbagh, Patna, Bihar"
care-of (c/o s/o w/o d/o),S2-460515872,India,"Haryana, C/O TULSI RAM, FATEHABAD"
care-of (c/o s/o w/o d/o),S2-132188730,India,"C/O MR.NARINDER KUMAR PLOT NO.39, BLOCK-B PANDAV NAGAR, BARAMAD, SHAKARPUR, Delhi"
care-of (c/o s/o w/o d/o),S3-501329783,India,"C/o Anil Kumar Shop No.4/37 Vikas Nagar, Lucknow, उत्तर प्रदेश"
care-of (c/o s/o w/o d/o),S3-554558961,India,"18 C/o Rajiv Kumar, Sector-8 Sanatan Cooperative Colony, B H Colony, Patna, बिहार"
house no. only in later segment,S1-954886409,US,"OH, Columbus, 507 Evergreen Terrace"
house no. only in later segment,S1-30166617,US,"Houston, TX, 5610 Truett Street"
house no. only in later segment,S2-663446783,US,"PRINCE WILLIAM COUNTY, VA, 11261 LADY JANE LOIP"
house no. only in later segment,S2-539778054,US,"LAFAYETTE DP, 2100 BRACY LN, IN"
house no. only in later segment,S3-630698659,US,"<NULL>, 7050 Filbeck Dr, Indiana, Terre Haute"
house no. only in later segment,S3-593419985,US,"Minnesota, Maplewood, 2697 Benlana Ct"
"starts with 2-letter code ('MA, ...')",S1-954886409,US,"OH, Columbus, 507 Evergreen Terrace"
"starts with 2-letter code ('MA, ...')",S1-491232871,US,"AR, 2703 55th Street, Rogers, Unit Apt 203"
"starts with 2-letter code ('MA, ...')",S2-961093381,US,"MO, IMPERIAL, 101 SECKMAN SPRING CIRCLE"
"starts with 2-letter code ('MA, ...')",S2-74892125,US,"UT, 560, OREM"
"starts with 2-letter code ('MA, ...')",S3-404484908,India,"KL, Thiruvananthapuram, Trivandrum, Dotspace Business Center"
"starts with 2-letter code ('MA, ...')",S3-244642011,India,"KA, Binnamangala 1St Stage, No.522 Cmh Road Indiranagar, Bangalore North, Bangalore"
hash '#' symbol,S1-64831661,US,"12618 Lincoln Avenue, Unit #24, Lakewood, WA"
hash '#' symbol,S1-723960394,US,"WA, 3202 Mason Avenue, Unit #I102, Tacoma"
hash '#' symbol,S2-971339247,India,"#402 PRAGATI TOWER26 RAJENDRA PLACE, NEW DELHI, Delhi"
hash '#' symbol,S2-199635728,India,"FL-#4, SKYLINE DEVELOPER, PLOT 62B&62C, SECTTION 4, PANVEL, महाराष्ट्र"
hash '#' symbol,S3-921372917,US,"25- First Street, # 4, Cambridge, Massachusetts"
hash '#' symbol,S3-575525905,India,"Kurla West, Kismat Nagar, Cst Road, B-##39, MH, Mumbai Suburban"
