split,country,source,rows,mean_comma_segments,landmark (near/opp/behind...),care-of (c/o s/o w/o d/o),hash '#' symbol,starts with house number,house no. only in later segment,"starts with 2-letter code ('MA, ...')","ends with 2-letter code (', TX')",5-digit token,6-digit token (PIN-like),PO box,unit/suite/apt/floor,plot/khasra/survey/house no
train,India,S1,883188,5.66,13.6,6.13,1.36,26.63,2.37,0.0,0.0,0.27,0.33,0.0,24.67,17.31
train,US,S1,1323633,3.16,0.01,0.0,0.35,85.97,11.9,6.39,86.39,10.82,0.57,0.0,15.43,0.0
train,India,S2,1959953,4.98,11.97,6.1,11.44,24.44,1.99,0.03,0.01,1.1,1.15,0.0,21.64,19.82
train,US,S2,2905696,3.07,0.01,0.0,5.42,80.41,9.76,6.55,86.52,10.52,1.8,1.73,0.1,0.0
train,India,S3,2050599,4.85,9.1,6.04,10.78,23.79,1.8,3.26,58.94,1.03,1.1,0.0,17.93,18.17
train,US,S3,3059088,3.19,0.01,0.0,10.53,80.62,9.91,0.31,4.26,10.54,1.75,1.63,7.88,0.0
test,France,S1,259452,3.04,0.0,0.0,0.0,86.01,13.37,0.0,0.0,0.39,0.02,0.0,0.14,0.0
test,India,S1,809986,5.66,13.58,6.16,1.36,26.55,2.37,0.0,0.0,0.26,0.34,0.0,24.61,17.3
test,US,S1,663106,3.16,0.01,0.0,0.34,86.01,11.86,6.42,86.36,10.82,0.56,0.0,15.41,0.0
test,France,S2,681841,2.69,0.0,0.0,3.43,72.04,9.63,0.0,0.0,0.51,0.02,0.0,0.15,0.0
test,India,S2,2259801,4.98,11.95,6.14,11.9,24.81,2.07,0.03,0.01,1.07,1.16,0.0,21.56,19.9
test,US,S2,1816223,3.07,0.01,0.0,5.48,81.55,9.83,6.51,86.59,10.65,1.82,1.74,0.1,0.0
test,France,S3,710074,2.71,0.0,0.0,3.29,72.61,9.72,0.0,0.0,0.53,0.02,0.0,0.15,0.0
test,India,S3,2345760,4.84,8.99,6.11,11.32,24.08,1.86,3.29,59.6,0.98,1.12,0.0,17.78,18.35
test,US,S3,1890384,3.2,0.01,0.0,10.7,81.68,10.03,0.26,3.45,10.71,1.78,1.64,7.76,0.0
