rank,train/US/name,train/US/address,train/India/name,train/India/address,test/France/name,test/France/address
0,llc (73430),street (41910),limited (86380),no (132424),sarl (17900),de (51931)
1,inc (53135),road (38326),private (80167),delhi (63651),sas (12718),rue (36245)
2,& (18438),drive (33790),ltd (39957),road (50452),france (7817),la (23731)
3,l (17153),st (33011),pvt (26723),nagar (38197),club (5941),r (17881)
4,center (16174),rd (30243),लिमिटेड (14950),floor (37567),de (5061),loire (16463)
5,partners (14760),avenue (28004),india (14598),c (29518),eurl (4933),france (14604)
6,and (14716),dr (27242),प्राइवेट (12416),mumbai (28865),& (4922),hauts (14435)
7,c (14089),city (24872),services (9360),1 (28059),s (4913),bordeaux (13819)
8,corp (13389),ave (22859),llp (9128),a (26729),sa (4079),nouvelle (12030)
9,com (13337),tx (21881),& (8499),maharashtra (26509),amicale (4039),aquitaine (12009)
10,group (12290),unit (19365),com (7263),new (25057),sasu (3776),nantes (11795)
11,co (10421),ny (17035),center (6663),west (22030),a (3141),lille (11097)
12,care (10132),new (16271),co (5197),plot (21697),sci (3105),du (10921)
13,of (9605),nc (15734),enterprises (4700),h (21274),maison (3058),pays (10270)
14,ltd (9100),texas (14970),industries (4683),2 (20773),du (2996),des (9977)
15,associates (8320),lane (14437),solutions (4565),b (20753),ecole (2852),nord (7587)
16,services (8132),oh (14067),trading (4516),o (19834),groupe (2785),gironde (7481)
17,holdings (7860),north (13701),brothers (4375),bangalore (19454),centre (2761),saint (6983)
18,d (7345),il (12413),group (4140),pradesh (18993),comite (2712),calais (6361)
19,health (6352),york (12097),ventures (4094),mh (16063),com (2564),avenue (6284)
20,p (5894),ln (11734),public (3926),city (15474),union (2508),atlantique (6201)
21,lp (5620),carolina (11032),exports (3551),3 (14353),fils (2327),tourcoing (5690)
22,pc (5150),1 (10702),technologies (3374),s (13775),des (2236),dunkerque (5682)
23,a (5124),ct (10192),traders (2912),pune (13527),développement (2198),roubaix (5395)
24,clinic (4890),va (9975),s (2895),kolkata (13182),sportive (2170),no (4840)
