config,pair_recall,entity_recall,cand_per_record_mean,cand_per_record_median,cand_per_record_p95,cand_per_record_max,total_candidate_pairs
"all 7 @10 (A,B,C,D,E',F,G)",97.655,93.487,36.12,29.0,76.0,604,37275812
- A,97.655,93.487,36.12,29.0,76.0,604,37275812
- B,97.655,93.487,36.12,29.0,76.0,604,37275812
- C,97.602,93.371,35.59,29.0,73.0,604,36727424
- D,97.564,93.242,30.36,20.0,74.0,598,31329659
- E',95.354,87.417,27.56,20.0,70.0,598,28436593
- F,97.609,93.35,33.44,28.0,73.0,596,34505217
- G,90.823,79.606,28.96,20.0,68.0,595,29883863
"A,B,C + E'20 G10 D5 F5",97.935,94.218,41.52,34.0,83.0,603,42844346
"A,B,C + E'15 G15 D5 F5",97.894,94.094,41.05,34.0,83.0,603,42366595
"A,B,C + E'20 G20 D5 F5",98.085,94.607,50.47,44.0,92.0,613,52083019
"B,C + E'15 G15 F5",97.834,93.938,38.29,30.0,82.0,600,39513637
