channel,country,pair_recall,entity_recall,true_pairs,queries,cand_per_record_mean,cand_per_record_median,cand_per_record_p95,cand_per_record_max,total_candidate_pairs
A,India,16.024,1.665,306230,413728,0.8,0.0,2.0,99,330950
B,India,44.099,11.069,306230,413728,5.26,0.0,53.0,194,2175801
C,India,47.553,13.384,306230,413728,5.63,0.0,54.0,194,2331215
D,India,32.261,20.912,306230,413728,5.96,10.0,10.0,10,2466114
E,India,61.174,44.591,306230,413728,10.0,10.0,10.0,10,4136040
E',India,76.397,57.126,306230,413728,10.0,10.0,10.0,10,4135419
F,India,14.866,11.479,306230,413728,3.19,0.0,10.0,10,1318722
G,India,81.541,61.404,306230,413728,9.45,10.0,10.0,10,3909756
UNION all,India,95.705,88.847,306230,413728,37.66,35.0,72.0,224,15579110
"UNION A,B,C,E'30,F30,G30 (pre-study guess)",India,96.606,90.953,306230,413728,66.79,60.0,109.0,281,27633406
A,US,27.076,3.821,457980,618229,3.09,0.0,8.0,253,1911435
B,US,53.256,16.055,457980,618229,11.86,0.0,65.0,572,7329384
C,US,56.606,19.128,457980,618229,12.57,1.0,70.0,572,7770626
D,US,39.315,26.089,457980,618229,6.93,10.0,10.0,10,4282831
E,US,77.378,59.993,457980,618229,10.0,10.0,10.0,10,6180060
E',US,92.13,78.983,457980,618229,9.99,10.0,10.0,10,6178762
F,US,50.987,32.454,457980,618229,5.42,6.0,10.0,10,3348143
G,US,90.103,74.218,457980,618229,9.47,10.0,10.0,10,5854412
UNION all,US,99.16,97.101,457980,618229,46.19,37.0,91.0,613,28557542
"UNION A,B,C,E'30,F30,G30 (pre-study guess)",US,99.413,97.947,457980,618229,73.18,60.0,129.0,653,45241495
