channel,src,pair_recall,entity_recall,true_pairs,queries,cand_per_record_mean,cand_per_record_median,cand_per_record_p95,cand_per_record_max,total_candidate_pairs
A,S2,22.356,11.294,369552,503465,2.13,0.0,4.0,253,1071633
B,S2,50.542,32.787,369552,503465,8.96,0.0,54.0,572,4512781
C,S2,53.954,36.296,369552,503465,9.51,0.0,56.0,572,4787711
D,S2,36.638,31.627,369552,503465,6.49,10.0,10.0,10,3265933
E,S2,70.901,64.188,369552,503465,10.0,10.0,10.0,10,5033508
E',S2,85.3,78.968,369552,503465,10.0,10.0,10.0,10,5032946
F,S2,36.083,31.927,369552,503465,4.5,3.0,10.0,10,2265997
G,S2,88.237,82.552,369552,503465,9.42,10.0,10.0,10,4743663
UNION all,S2,97.633,96.134,369552,503465,42.39,37.0,76.0,613,21339374
"UNION A,B,C,E'30,F30,G30 (pre-study guess)",S2,98.196,97.064,369552,503465,69.79,60.0,112.0,653,35135139
A,S3,22.92,10.994,394658,528492,2.22,0.0,5.0,253,1170752
B,S3,48.693,29.901,394658,528492,9.45,0.0,57.0,572,4992404
C,S3,52.065,33.214,394658,528492,10.06,0.0,58.0,572,5314130
D,S3,36.348,30.764,394658,528492,6.59,10.0,10.0,10,3483012
E,S3,70.869,62.875,394658,528492,10.0,10.0,10.0,10,5282592
E',S3,86.318,78.974,394658,528492,9.99,10.0,10.0,10,5281235
F,S3,36.915,32.184,394658,528492,4.54,3.0,10.0,10,2400868
G,S3,85.206,78.197,394658,528492,9.5,10.0,10.0,10,5020505
UNION all,S3,97.909,96.322,394658,528492,43.14,37.0,78.0,604,22797278
"UNION A,B,C,E'30,F30,G30 (pre-study guess)",S3,98.375,97.135,394658,528492,71.41,60.0,116.0,651,37739762
