channel,pair_recall,entity_recall,true_pairs,queries,cand_per_record_mean,cand_per_record_median,cand_per_record_p95,cand_per_record_max,total_candidate_pairs,cand_per_s1_mean,cand_per_s1_median,cand_per_s1_p95,cand_per_s1_max,runtime_s,peak_rss_gb
A,22.647,2.959,764210,1031957,2.17,0.0,5.0,253,2242385,1.02,0.0,6.0,108,0.8,4.71
B,49.587,14.06,764210,1031957,9.21,0.0,56.0,572,9505185,4.31,0.0,20.0,124,2.2,4.45
C,52.978,16.83,764210,1031957,9.79,0.0,57.0,572,10101841,4.58,0.0,22.0,131,3.0,3.34
D,36.488,24.018,764210,1031957,6.54,10.0,10.0,10,6748945,3.06,0.0,12.0,26415,75.5,8.24
E,70.885,53.832,764210,1031957,10.0,10.0,10.0,10,10316100,4.67,1.0,17.0,21445,1711.5,7.77
E',85.826,70.239,764210,1031957,9.99,10.0,10.0,10,10314181,4.67,2.0,15.0,6427,142.8,7.01
F,36.513,24.064,764210,1031957,4.52,3.0,10.0,10,4666865,2.11,0.0,12.0,240,6.7,3.49
G,86.672,69.092,764210,1031957,9.46,10.0,10.0,10,9764168,4.42,2.0,14.0,18162,121.4,8.97
UNION all,97.775,93.799,764210,1031957,42.77,37.0,77.0,613,44136652,20.0,11.0,65.0,26425,,
"UNION A,B,C,E'30,F30,G30 (pre-study guess)",98.288,95.149,764210,1031957,70.62,60.0,115.0,653,72874901,33.02,22.0,89.0,19652,,
