caps,k,cap_D,cap_F,cap_G,pair_recall,entity_recall,cand_per_record_mean,cand_per_record_median,cand_per_record_p95,cand_per_record_max,country
loose,5,10000,500,5000,97.738,93.481,24.21,17.0,69.0,589,
loose,5,10000,500,5000,95.93,89.087,20.02,15.0,66.0,214,India
loose,5,10000,500,5000,98.946,96.411,27.02,17.0,79.0,589,US
loose,10,10000,500,5000,98.302,95.01,39.75,32.0,82.0,603,
loose,10,10000,500,5000,96.843,91.306,35.53,30.0,79.0,234,India
loose,10,10000,500,5000,99.277,97.48,42.57,33.0,90.0,603,US
loose,20,10000,500,5000,98.696,96.14,70.24,61.0,111.0,636,
loose,20,10000,500,5000,97.52,93.072,66.23,60.0,108.0,274,India
loose,20,10000,500,5000,99.482,98.185,72.92,62.0,115.0,636,US
loose,30,10000,500,5000,98.901,96.735,100.11,90.0,139.0,671,
loose,30,10000,500,5000,97.876,94.025,96.36,90.0,137.0,312,India
loose,30,10000,500,5000,99.586,98.542,102.62,90.0,141.0,671,US
medium,5,2000,100,1000,96.975,91.816,22.66,14.0,65.0,590,
medium,5,2000,100,1000,94.31,85.831,18.1,14.0,61.0,209,India
medium,5,2000,100,1000,98.756,95.807,25.71,15.0,79.0,590,US
medium,10,2000,100,1000,97.656,93.49,36.12,29.0,76.0,604,
medium,10,2000,100,1000,95.478,88.319,31.2,28.0,70.0,224,India
medium,10,2000,100,1000,99.113,96.937,39.42,29.0,91.0,604,US
medium,20,2000,100,1000,98.15,94.796,62.18,58.0,98.0,636,
medium,20,2000,100,1000,96.375,90.446,56.69,57.0,90.0,263,India
medium,20,2000,100,1000,99.337,97.696,65.85,58.0,116.0,636,US
medium,30,2000,100,1000,98.4,95.455,87.43,87.0,120.0,671,
medium,30,2000,100,1000,96.836,91.548,81.34,86.0,117.0,303,India
medium,30,2000,100,1000,99.446,98.06,91.5,88.0,140.0,671,US
tight,5,300,20,200,95.338,88.409,20.68,13.0,64.0,583,
tight,5,300,20,200,91.242,80.272,16.71,13.0,60.0,207,India
tight,5,300,20,200,98.077,93.834,23.34,13.0,76.0,583,US
tight,10,300,20,200,96.394,90.77,31.85,25.0,72.0,593,
tight,10,300,20,200,93.009,83.585,28.16,27.0,68.0,222,India
tight,10,300,20,200,98.658,95.56,34.32,24.0,85.0,593,US
tight,20,300,20,200,97.233,92.736,53.21,44.0,91.0,613,
tight,20,300,20,200,94.522,86.667,50.26,48.0,86.0,252,India
tight,20,300,20,200,99.046,96.782,55.18,42.0,103.0,613,US
tight,30,300,20,200,97.65,93.744,73.72,63.0,110.0,633,
tight,30,300,20,200,95.285,88.311,71.55,67.0,106.0,277,India
tight,30,300,20,200,99.232,97.367,75.17,61.0,121.0,633,US
