split,source,country,script,records,pct
train,S1,India,Latin,883188,100.0
train,S1,US,Latin,1323633,100.0
train,S2,India,Latin,1482432,73.468
train,S2,India,Latin+Gujarati,31543,1.563
train,S2,India,Latin+Tamil,34777,1.724
train,S2,India,Latin+Devanagari,277523,13.754
train,S2,India,Latin+Bengali,31770,1.574
train,S2,India,None,57846,2.867
train,S2,India,Latin+Malayalam,15680,0.777
train,S2,India,Latin+Kannada,38560,1.911
train,S2,India,Latin+Telugu,34382,1.704
train,S2,India,Latin+Gurmukhi,7129,0.353
train,S2,India,Latin+Oriya,6157,0.305
train,S2,US,None,111121,3.683
train,S2,US,Latin,2905696,96.317
train,S3,India,Devanagari,46,0.002
train,S3,India,Latin+Gujarati,31508,1.489
train,S3,India,Latin+Telugu,34319,1.622
train,S3,India,Tamil,12,0.001
train,S3,India,Bengali,1,0.0
train,S3,India,Latin+Kannada,38965,1.842
train,S3,India,Latin,1574821,74.44
train,S3,India,Kannada,9,0.0
train,S3,India,None,64948,3.07
train,S3,India,Malayalam,4,0.0
train,S3,India,Telugu,5,0.0
train,S3,India,Latin+Devanagari,275815,13.038
train,S3,India,Latin+Malayalam,15375,0.727
train,S3,India,Latin+Gurmukhi,7195,0.34
train,S3,India,Latin+Oriya,6101,0.288
train,S3,India,Gujarati,9,0.0
train,S3,India,Latin+Bengali,31447,1.486
train,S3,India,Oriya,1,0.0
train,S3,India,Latin+Tamil,34966,1.653
train,S3,US,Latin,3059088,96.499
train,S3,US,None,110968,3.501
test,S1,France,Latin,259452,100.0
test,S1,India,Latin,809986,100.0
test,S1,US,Latin,663106,100.0
test,S2,France,Latin,681841,96.938
test,S2,France,None,21537,3.062
test,S2,India,Latin+Malayalam,18129,0.784
test,S2,India,Latin+Devanagari,318369,13.767
test,S2,India,Latin+Tamil,40621,1.757
test,S2,India,Latin,1709228,73.91
test,S2,India,Latin+Gurmukhi,8195,0.354
test,S2,India,Latin+Telugu,39624,1.713
test,S2,India,Latin+Bengali,36832,1.593
test,S2,India,Latin+Gujarati,36709,1.587
test,S2,India,None,52764,2.282
test,S2,India,Latin+Kannada,45006,1.946
test,S2,India,Latin+Oriya,7088,0.306
test,S2,US,None,55107,2.945
test,S2,US,Latin,1816223,97.055
test,S3,France,Latin,710074,97.056
test,S3,France,None,21541,2.944
test,S3,India,Latin+Devanagari,319016,13.265
test,S3,India,Latin+Gujarati,36727,1.527
test,S3,India,Latin+Gurmukhi,7990,0.332
test,S3,India,Latin+Bengali,36425,1.515
test,S3,India,Gujarati,5,0.0
test,S3,India,Malayalam,5,0.0
test,S3,India,Kannada,11,0.0
test,S3,India,Devanagari,57,0.002
test,S3,India,Latin,1795277,74.648
test,S3,India,Latin+Tamil,40538,1.686
test,S3,India,Tamil,6,0.0
test,S3,India,Latin+Oriya,7187,0.299
test,S3,India,Bengali,2,0.0
test,S3,India,Gurmukhi,2,0.0
test,S3,India,None,59240,2.463
test,S3,India,Latin+Malayalam,17928,0.745
test,S3,India,Latin+Telugu,39420,1.639
test,S3,India,Latin+Kannada,45153,1.877
test,S3,India,Telugu,10,0.0
test,S3,India,Oriya,1,0.0
test,S3,US,None,55317,2.843
test,S3,US,Latin,1890384,97.157
