split,source,country,records,pct_found,pct_found_nonmissing_address,pass_bar,passed
test,S1,France,259452,100.0,100.0,,
test,S2,France,703378,64.24,66.27,,
test,S3,France,731615,65.92,67.92,,
test,S1,India,809986,99.91,99.91,85.0,true
test,S2,India,2312565,97.64,99.92,85.0,true
test,S3,India,2405000,97.43,99.89,85.0,true
train,S1,India,883188,99.91,99.91,85.0,true
train,S2,India,2017799,97.06,99.92,85.0,true
train,S3,India,2115547,96.82,99.89,85.0,true
test,S1,US,663106,100.0,100.0,90.0,true
test,S2,US,1871330,97.05,100.0,90.0,true
test,S3,US,1945701,96.57,99.39,90.0,true
train,S1,US,1323633,100.0,100.0,90.0,true
train,S2,US,3016817,96.32,100.0,90.0,true
train,S3,US,3170056,95.91,99.39,90.0,true
