script,s1_name,match_name,anyascii,itrans
Devanagari,alpha media limited,अल्फा मीडिया लिमिटेड,alpha midiya limited,alpha midiya limiteda
Devanagari,innovative hospitality,इनोवेटिव हॉस्पिटैलिटी,inovetiv hospitailiti,inovetiva haspitailiti
Oriya,dynamic estate private limited,ଡାଇନାମିକ୍ ଏଷ୍ଟେଟ୍ ପ୍ରାଇଭେଟ୍ ଲିମିଟେଡ୍,dainamik estet praibhet limited,dainamik eshtet praibhet limited
Oriya,green care private limited,ଗ୍ରୀନ୍ କେୟାର୍ ପ୍ରାଇଭେଟ୍ ଲିମିଟେଡ୍,grin keyar praibhet limited,grin keyar praibhet limited
Telugu,apex builders limited,ఏపెక్స్ బిల్డర్స్ లిమిటెడ్,epeks bildrs limited,epeks bildars limited
Telugu,bombay logistics private limited,బాంబే లాజిస్టిక్స్ ప్రైవేట్ లిమిటెడ్,bambe lajistiks praivet limited,bambe lajistiks praivet limited
Malayalam,raj infrastructure private limited,രാജ് ഇൻഫ്രാസ്ട്രക്ചർ പ്രൈവറ്റ് ലിമിറ്റഡ്,raj inphrastrkcr praivrr limirrd,raj iphrastrakcha praivarr limirrad
Malayalam,shakti foods private limited,ശക്തി ഫുഡ്സ് പ്രൈവറ്റ് ലിമിറ്റഡ്,skti phuds praivrr limirrd,shakti phuds praivarr limirrad
Bengali,laxmi management private limited,লক্ষ্মী ম্যানেজমেন্ট প্রাইভেট লিমিটেড,lksmi myanejment praibhet limited,lakshmi myanejamenta praibheta limiteda
Bengali,dynamic construction limited,ডায়নামিক কনস্ট্রাকশন লিমিটেড,daynamik knstraksn limited,dayanamika kanastrakashana limiteda
Kannada,tirupati industries private limited,ತಿರುಪತಿ ಇಂಡಸ್ಟ್ರೀಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,tirupti imdstris praivet limited,tirupati imdastris praivet limited
Kannada,jain technology,ಜೈನ್ ಟೆಕ್ನಾಲಜಿ,jain teknalji,jain teknalaji
Tamil,real builders private limited,ரியல் பில்டர்ஸ் பிரைவேட் லிமிடெட்,riyl piltrs piraivet limitet,riyal bhildhars bhiraivedh limidhedh
Tamil,dream impex private limited,டிரீம் இம்பெக்ஸ் பிரைவேட் லிமிடெட்,tirim impeks piraivet limitet,dhirim imbheghs bhiraivedh limidhedh
Gujarati,shree management private limited,શ્રી મેનેજમેન્ટ પ્રાઇવેટ લિમિટેડ,sri menejment praivet limited,shri menejamenta praiveta limiteda
Gujarati,shiva tech private limited,શિવ ટેક પ્રાઇવેટ લિમિટેડ,siv tek praivet limited,shiva teka praiveta limiteda
Gurmukhi,shivam engineering,ਸ਼ਿਵਮ ਇੰਜੀਨੀਅਰਿੰਗ,sivm imjiniarimg,saivama imjiniarimga
Gurmukhi,sky energy private limited,ਸਕਾਈ ਐਨਰਜੀ ਪ੍ਰਾਈਵੇਟ ਲਿਮਟਿਡ,skai ainrji praivet limtid,sakai ainaraji praiveta limatida
