split,source,field,stage,merged_into,distinct_previous_values
train,S1,name,lowercase,dd trading private limited,DD Trading Private Limited || Dd Trading Private Limited
train,S1,name,lowercase,pk services private limited,PK Services Private Limited || Pk Services Private Limited
train,S1,name,lowercase,sa solutions private limited,SA Solutions Private Limited || Sa Solutions Private Limited
train,S1,name,punctuation,federal initiative llc,"federal initiative llc || federal initiative, l.l.c."
train,S1,name,punctuation,haryana india private limited,haryana (india) private limited || haryana india private limited
train,S1,name,punctuation,piedmont college llc,"piedmont college llc || piedmont college, llc"
train,S1,name,legal_removed,future real impex,future real impex private limited || future real impex pvt ltd
train,S1,name,legal_removed,rsp india,rsp india limited || rsp india private limited
train,S1,name,legal_removed,sharp mckinley,sharp mckinley llc || sharp mckinley lp
train,S1,address,punctuation,218 siddharth complex r c dutt road alkapuri vadodara gujarat,"218, siddharth complex, r c dutt road alkapuri, vadodara, gujarat || 218, siddharth complex, r c dutt road, alkapuri, vadodara, gujarat"
train,S1,address,punctuation,236b ajc bose road kolkata kolkata howrah west bengal,"236b a.j.c bose road kolkata, kolkata, howrah, west bengal || 236b, ajc bose road, kolkata, kolkata, howrah, west bengal"
train,S1,address,punctuation,b 903 bramha niwas eastern express highway opp r r school mulund east mumbai maharashtra,"b/903, bramha niwas, eastern express highway opp r r school, mulund east, mumbai, maharashtra || b/903, bramha niwas, eastern express highway, opp r r school, mulund east, mumbai, maharashtra"
train,S2,name,lowercase,federal initiative llc,FEDERAL INITIATIVE LLC || Federal Initiative LLC || Federal Initiative Llc
train,S2,name,lowercase,gowri (india) cars private limited,Gowri (India) Cars Private Limited || gowri (india) cars private limited
train,S2,name,lowercase,health alliance ltd,HEALTH ALLIANCE LTD || Health Alliance Ltd
train,S2,name,whitespace,health alliance ltd,health alliance  ltd || health alliance ltd
train,S2,name,whitespace,kayess charitable trust,kayess charitable  trust || kayess charitable trust
train,S2,name,whitespace,modern semiconductor industries llc,modern  semiconductor industries llc || modern semiconductor industries llc
train,S2,name,punctuation,4257 highland place properties center,4257 highland place properties [center] || 4257 highland place properties center
train,S2,name,punctuation,dillahunt data,dillahunt data || dillahunt-data
train,S2,name,punctuation,kayess charitable trust,kayess charitable (trust) || kayess charitable [trust] || kayess charitable trust
train,S2,name,diacritic_fold,health alliance ltd,health alliance ltd || health álliance ltd
train,S2,name,diacritic_fold,optque,optque || óptque
train,S2,name,diacritic_fold,swift transport private limited,swift transport private limited || swift transport private límited
train,S2,name,legal_removed,rsp india,limited rsp india || rsp india limited
train,S2,name,legal_removed,sharp mckinley,sharp lp mckinley || sharp mckinley || sharp mckinley llc || sharp mckinley lp
train,S2,name,legal_removed,vzv village,vzv village || vzv village llc
train,S2,address,unicode,"A - 204, AHMEDABAD, Gujarat","A - 204, AHMEDABAD, Gujarat || A Â 204, AHMEDABAD, Gujarat"
train,S2,address,lowercase,"19215 1/2 choctaw rd, bend, or","19215 1/2 CHOCTAW RD, BEND, OR || 19215 1/2 Choctaw Rd, BEND, OR"
train,S2,address,lowercase,"452 1/2 wisconsin ave, beeloit, wi","452 1/2 WISCONSIN AVE, BEELOIT, WI || 452 1/2 Wisconsin Ave, BEELOIT, WI"
train,S2,address,lowercase,"6 samuels way, <null>, gorham, me","6 SAMUELS WAY, <NULL>, GORHAM, ME || 6 Samuels Way, <NULL>, GORHAM, ME"
train,S2,address,whitespace,"15757 90th pl, scottsdale airpark, az","15757  90th pl, scottsdale airpark, az || 15757 90th pl, scottsdale airpark, az"
train,S2,address,whitespace,"20002 mountain highway, spanaway, wa","20002  mountain highway, spanaway, wa || 20002 mountain highway, spanaway, wa"
train,S2,address,whitespace,"314 jones st, raleigh, nc","314  jones st, raleigh, nc || 314 jones st, raleigh, nc"
train,S2,address,placeholder,"2 valley view village, sweetwater, tn","2 valley view village, null, sweetwater, tn || 2 valley view village, sweetwater, null, tn"
train,S2,address,placeholder,"ky, bowling green, 507 middle bridge rd","<null>, ky, bowling green, 507 middle bridge rd || ky, bowling green, 507 middle bridge rd || ky, bowling green, <null>, 507 middle bridge rd"
train,S2,address,placeholder,"ut, 800, salt lake city","<null>, ut, 800, salt lake city || ut, 800, salt lake city"
train,S2,address,punctuation,170 nehru nagar bye pass road agra uttar pradesh,"#170 nehru nagar bye pass road, agra, uttar pradesh || 170 nehru nagar bye pass road, agra, uttar pradesh"
train,S2,address,punctuation,5 elm creek dr elmhurst il,"5 elm creek dr, elmhurst, il || 5. elm creek dr, elmhurst, il"
train,S2,address,punctuation,61 bangalore karnataka,"# 61, bangalore, karnataka || #61, bangalore, karnataka"
train,S2,address,diacritic_fold,1063 mono road pinon hills ca,1063 mono road pinon hills ca || 1063 mono road piñon hills ca
train,S2,address,diacritic_fold,10639 golden view road pinon hills ca,10639 golden view road pinon hills ca || 10639 golden view road piñon hills ca
train,S2,address,diacritic_fold,40 state hwy 73 penasco nm,40 state hwy 73 penasco nm || 40 state hwy 73 peñasco nm
train,S3,name,lowercase,bestapparelsystems.com,Bestapparelsystems.Com || bestapparelsystems.com
train,S3,name,lowercase,optque,Optque || optque
train,S3,name,lowercase,piedmont álliance,PIEDMONT ÁLLIANCE || Piedmont Álliance
train,S3,name,whitespace,kayess charitable trust,kayess charitable  trust || kayess charitable trust
train,S3,name,whitespace,noida vision private ltd,noida vision private  ltd || noida vision private ltd
train,S3,name,whitespace,rogers worldwide l.l.c.,rogers worldwide  l.l.c. || rogers worldwide l.l.c.
train,S3,name,punctuation,dillahunt data,dillahunt (data) || dillahunt data
train,S3,name,punctuation,pioneer creative laboratories llc,"pioneer creative laboratories, llc || pioneer creative laboratories,-llc"
train,S3,name,punctuation,torres activate,torres (activate) || torres activate
train,S3,name,diacritic_fold,candide powell anchor communities,candide powell anchor communities || candide pówell anchor communities
train,S3,name,diacritic_fold,lumify sanayi inc,lumify sanayi inc || lumify sanayi ínc
train,S3,name,diacritic_fold,private mumbai enterprises limited,private mumbai enterprises limited || prívate mumbai enterprises limited
train,S3,name,legal_removed,legacy bay center,legacy bay center || legacy bay llc center
train,S3,name,legal_removed,muhammad cyber,muhammad cyber || muhammad cyber inc
train,S3,name,legal_removed,rsp india,rsp india || rsp india limited || rsp india private ltd
train,S3,address,lowercase,"1652 daley, mesa, arizona","1652 Daley, MESA, Arizona || 1652 Daley, Mesa, Arizona"
train,S3,address,lowercase,"2250b st rte 716, maria stein, ohio","2250B St Rte 716, Maria Stein, Ohio || 2250b St Rte 716, Maria Stein, Ohio"
train,S3,address,lowercase,"5630a lapwai rd, lewiston, idaho","5630A Lapwai Rd, Lewiston, Idaho || 5630a Lapwai Rd, Lewiston, Idaho"
train,S3,address,whitespace,"11 webster street, westbrook, maine","11  webster street, westbrook, maine || 11 webster street, westbrook, maine"
train,S3,address,whitespace,"213 fifth avenue, kure beach, north carolina","213  fifth avenue, kure beach, north carolina || 213 fifth avenue, kure beach, north carolina"
train,S3,address,whitespace,"7 main st, middletown, delaware","7  main st, middletown, delaware || 7 main st, middletown, delaware"
train,S3,address,placeholder,"400 savage drive, winchester, virginia","400 savage drive, null, winchester, virginia || 400 savage drive, winchester, virginia, null"
train,S3,address,placeholder,"broadway, bosotn city, massachusetts","broadway, bosotn city, massachusetts || broadway, null, bosotn city, massachusetts"
train,S3,address,placeholder,"eleganta e b3/106 kalyan shil road casa bella, thane, mh","eleganta e b3/106 kalyan shil road casa bella, thane, mh, null || eleganta e b3/106 kalyan shil road casa bella, thane, null, mh"
train,S3,address,punctuation,392 bangalore north bangalore ka,"#392, bangalore north, bangalore, ka || 392, bangalore north, bangalore, ka"
train,S3,address,punctuation,75 new delhi dl,"##75, new delhi, dl || #75, new delhi, dl"
train,S3,address,punctuation,bangalore ka no 2,"bangalore, ka, no 2 || bangalore, ka, no.2."
