split,source,records,raw->unicode,unicode->lowercase,lowercase->norm,norm->clean,clean->fold,clean->base,raw->clean (any change),field,norm->placeholder,placeholder->clean
train,S1,2206821,0.037,100.0,0.047,,0.001,,100.0,address,0.001,100.0
train,S1,2206821,0.0,100.0,0.0,17.485,0.0,67.878,100.0,name,,
train,S2,5034616,0.033,96.644,2.139,,0.002,,96.644,address,6.082,96.644
train,S2,5034616,0.509,85.191,11.012,31.863,5.765,62.321,90.251,name,,
train,S3,5285603,0.027,96.67,0.095,,0.002,,96.672,address,3.32,96.672
train,S3,5285603,0.275,89.135,10.89,32.93,6.21,60.672,93.643,name,,
test,S1,1732544,0.163,100.0,0.047,,4.169,,100.0,address,0.004,100.0
test,S1,1732544,0.0,100.0,0.0,14.398,2.354,71.237,100.0,name,,
test,S2,4887273,0.39,97.352,1.696,,2.612,,97.352,address,5.972,97.349
test,S2,4887273,0.637,84.208,10.236,27.81,7.807,67.082,88.765,name,,
test,S3,5082316,0.37,97.32,0.065,,2.678,,97.322,address,2.79,97.319
test,S3,5082316,0.344,88.938,10.224,28.777,8.202,65.529,92.822,name,,
