split,source,field,stage,non_null,distinct,rows_in_duplicate_groups,max_group,pct_rows_in_duplicates,pct_distinct_vs_raw
train,S1,address,raw,2206821,2130606,116304,14,5.27,100.0
train,S1,address,norm,2206821,2130606,116304,14,5.27,100.0
train,S1,address,clean,2206821,2130097,117304,14,5.316,99.976
train,S1,address,fold,2206821,2130097,117304,14,5.316,99.976
train,S1,name,raw,2206821,1539229,845385,253,38.308,100.0
train,S1,name,norm,2206821,1538804,846097,253,38.34,99.972
train,S1,name,clean,2206821,1517547,870807,253,39.46,98.591
train,S1,name,fold,2206821,1517547,870807,253,39.46,98.591
train,S1,name,base,2206813,1307678,1104861,575,50.066,84.957
train,S2,address,raw,4865649,4337261,949860,18,19.522,100.0
train,S2,address,norm,4865649,4300097,1013346,19,20.827,99.143
train,S2,address,clean,4865649,4282549,1042503,20,21.426,98.739
train,S2,address,fold,4865649,4282537,1042521,20,21.426,98.738
train,S2,name,raw,5034616,4402009,872386,320,17.328,100.0
train,S2,name,norm,5034616,4192965,1169380,464,23.227,95.251
train,S2,name,base,5034576,3292288,2312832,807,45.939,74.791
train,S2,name,fold,5034616,3936904,1533384,539,30.457,89.434
train,S2,name,clean,5034616,4017017,1418139,526,28.168,91.254
train,S3,address,raw,5109687,4632764,859813,29,16.827,100.0
train,S3,address,norm,5109687,4631186,862506,29,16.88,99.966
train,S3,address,clean,5109687,4612655,891474,41,17.447,99.566
train,S3,address,fold,5109687,4612647,891481,41,17.447,99.566
train,S3,name,fold,5285603,4180403,1547806,533,29.283,89.87
train,S3,name,raw,5285603,4651609,892270,421,16.881,100.0
train,S3,name,norm,5285603,4473473,1138818,462,21.546,96.17
train,S3,name,clean,5285603,4273219,1417431,521,26.817,91.865
train,S3,name,base,5285421,3544141,2316798,727,43.834,76.192
test,S1,address,clean,1732544,1673789,93105,101,5.374,99.78
test,S1,address,fold,1732544,1673155,94266,101,5.441,99.742
test,S1,address,norm,1732544,1674541,91705,101,5.293,99.825
test,S1,address,raw,1732544,1677483,86457,99,4.99,100.0
test,S1,name,clean,1732544,1227654,637044,205,36.769,99.095
test,S1,name,raw,1732544,1238867,623632,205,35.995,100.0
test,S1,name,norm,1732544,1238244,624683,205,36.056,99.95
test,S1,name,base,1732540,1068218,815217,516,47.053,86.225
test,S1,name,fold,1732544,1226967,637862,205,36.816,99.039
test,S2,address,raw,4757865,4224783,977780,81,20.551,100.0
test,S2,address,norm,4757865,4182032,1051981,90,22.11,98.988
test,S2,address,clean,4757865,4148053,1110746,92,23.345,98.184
test,S2,address,fold,4757865,4136073,1130379,92,23.758,97.9
test,S2,name,raw,4887273,4311041,799335,302,16.355,100.0
test,S2,name,base,4886931,3277798,2150164,866,43.998,76.033
test,S2,name,norm,4887273,4129352,1061622,302,21.722,95.785
test,S2,name,clean,4887273,3995283,1255700,302,25.693,92.676
test,S2,name,fold,4887273,3917930,1366174,302,27.954,90.881
test,S3,address,raw,4946218,4456435,894539,89,18.085,100.0
test,S3,address,norm,4946218,4450182,905048,89,18.298,99.86
test,S3,address,clean,4946218,4413321,964960,89,19.509,99.033
test,S3,address,fold,4946218,4401042,984959,89,19.913,98.757
test,S3,name,fold,5082316,4112787,1369537,387,26.947,90.952
test,S3,name,norm,5082316,4357464,1026371,387,20.195,96.363
test,S3,name,raw,5082316,4521929,798543,387,15.712,100.0
test,S3,name,base,5081747,3471410,2157477,826,42.455,76.768
test,S3,name,clean,5082316,4201667,1245514,387,24.507,92.918
