split,source,field,stage,pct_changed,new_collision_keys,rows_in_new_collisions,pct_unique_reduction_vs_raw
train,S1,address,unicode,0.037,0,0,0.0
train,S1,address,lowercase,100.0,0,0,0.0
train,S1,address,whitespace,0.047,0,0,0.0
train,S1,address,placeholder,0.001,0,0,0.0
train,S1,address,punctuation,100.0,507,1042,0.024
train,S1,address,diacritic_fold,0.001,0,0,0.024
train,S1,name,unicode,0.0,0,0,0.0
train,S1,name,lowercase,100.0,425,1714,0.028
train,S1,name,whitespace,0.0,0,0,0.028
train,S1,name,punctuation,17.485,18573,140862,1.409
train,S1,name,diacritic_fold,0.0,0,0,1.409
train,S1,name,legal_removed,67.878,134683,937033,15.043
train,S2,address,unicode,0.034,1,2,0.0
train,S2,address,lowercase,100.0,36519,89533,0.842
train,S2,address,whitespace,2.213,644,2004,0.857
train,S2,address,placeholder,6.293,3838,9865,0.947
train,S2,address,punctuation,100.0,13283,33351,1.261
train,S2,address,diacritic_fold,0.002,12,30,1.262
train,S2,name,unicode,0.509,0,0,0.0
train,S2,name,lowercase,85.191,106080,432058,2.602
train,S2,name,whitespace,11.012,87905,366495,4.749
train,S2,name,punctuation,31.863,140196,586755,8.746
train,S2,name,diacritic_fold,5.765,76179,404332,10.566
train,S2,name,legal_removed,64.307,418813,1900697,25.067
train,S3,address,unicode,0.028,0,0,0.0
train,S3,address,lowercase,99.998,580,1416,0.013
train,S3,address,whitespace,0.098,998,2482,0.034
train,S3,address,placeholder,3.434,2767,8952,0.096
train,S3,address,punctuation,100.0,14046,40718,0.434
train,S3,address,diacritic_fold,0.002,8,29,0.434
train,S3,name,unicode,0.275,0,0,0.0
train,S3,name,lowercase,89.135,63318,275781,1.559
train,S3,name,whitespace,10.89,95730,412071,3.83
train,S3,name,punctuation,32.93,156736,694177,8.135
train,S3,name,diacritic_fold,6.21,87057,478903,10.13
train,S3,name,legal_removed,62.839,415149,1888406,23.736
test,S1,address,unicode,0.163,0,0,0.0
test,S1,address,lowercase,100.0,2814,7401,0.175
test,S1,address,whitespace,0.047,8,162,0.175
test,S1,address,placeholder,0.004,3,31,0.176
test,S1,address,punctuation,100.0,745,1773,0.22
test,S1,address,diacritic_fold,4.169,634,1472,0.258
test,S1,name,unicode,0.0,0,0,0.0
test,S1,name,lowercase,100.0,623,2099,0.05
test,S1,name,whitespace,0.0,0,0,0.05
test,S1,name,punctuation,14.398,9270,63999,0.905
test,S1,name,diacritic_fold,2.354,683,3703,0.961
test,S1,name,legal_removed,72.693,99581,686849,13.775
test,S2,address,unicode,0.4,0,0,0.0
test,S2,address,lowercase,100.0,42513,102742,1.006
test,S2,address,whitespace,1.743,237,678,1.012
test,S2,address,placeholder,6.134,3058,7318,1.085
test,S2,address,punctuation,99.996,30445,72675,1.816
test,S2,address,diacritic_fold,2.683,11957,30080,2.1
test,S2,name,unicode,0.637,0,0,0.0
test,S2,name,lowercase,84.208,94882,348732,2.412
test,S2,name,whitespace,10.236,72480,283111,4.215
test,S2,name,punctuation,27.81,110932,433194,7.324
test,S2,name,diacritic_fold,7.807,72183,331178,9.119
test,S2,name,legal_removed,69.613,410709,1801042,23.774
test,S3,address,unicode,0.38,6,17,0.0
test,S3,address,lowercase,99.998,5503,14204,0.125
test,S3,address,whitespace,0.066,668,1499,0.14
test,S3,address,placeholder,2.866,2190,7778,0.191
test,S3,address,punctuation,99.997,32495,86556,0.967
test,S3,address,diacritic_fold,2.752,12260,30972,1.243
test,S3,name,unicode,0.344,0,0,0.0
test,S3,name,lowercase,88.938,65679,257895,1.677
test,S3,name,whitespace,10.224,80258,333210,3.637
test,S3,name,punctuation,28.777,126067,535724,7.082
test,S3,name,diacritic_fold,8.202,82067,399488,9.048
test,S3,name,legal_removed,68.26,411992,1798962,23.134
