split,source,country,records,raw->unicode,unicode->lowercase,lowercase->norm,norm->clean,clean->fold,clean->base,raw->clean (any change),field,norm->placeholder,placeholder->clean
train,S1,India,883188,0.091,100.0,0.008,,0.003,,100.0,address,0.004,100.0
train,S1,India,883188,0.0,100.0,0.0,8.233,0.0,84.291,100.0,name,,
train,S1,US,1323633,0.001,100.0,0.073,,0.0,,100.0,address,0.0,100.0
train,S1,US,1323633,0.0,100.0,0.0,23.658,0.0,56.927,100.0,name,,
train,S2,India,2017799,0.081,97.133,1.226,,0.003,,97.133,address,9.409,97.133
train,S2,India,2017799,1.271,73.049,10.037,24.369,4.366,78.857,79.06,name,,
train,S2,US,3016817,0.0,96.317,2.75,,0.002,,96.317,address,3.857,96.317
train,S2,US,3016817,0.0,93.312,11.663,36.875,6.701,50.908,97.736,name,,
train,S3,India,2115547,0.068,96.925,0.006,,0.002,,96.93,address,2.787,96.93
train,S3,India,2115547,0.686,83.265,10.536,25.842,5.325,76.251,87.969,name,,
train,S3,US,3170056,0.0,96.499,0.154,,0.002,,96.499,address,3.675,96.499
train,S3,US,3170056,0.0,93.053,11.127,37.661,6.8,50.084,97.43,name,,
test,S1,France,259452,0.806,100.0,0.108,,27.831,,100.0,address,0.014,100.0
test,S1,France,259452,0.001,100.0,0.0,10.321,15.721,67.311,100.0,name,,
test,S1,India,809986,0.09,100.0,0.008,,0.002,,100.0,address,0.004,100.0
test,S1,India,809986,0.0,100.0,0.0,8.19,0.0,84.257,100.0,name,,
test,S1,US,663106,0.0,100.0,0.071,,0.0,,100.0,address,0.0,100.0
test,S1,US,663106,0.0,100.0,0.0,23.577,0.0,56.868,100.0,name,,
test,S2,France,703378,2.441,96.938,0.081,,18.14,,96.938,address,0.011,96.913
test,S2,France,703378,0.0,93.461,9.112,23.47,24.541,60.705,96.947,name,,
test,S2,India,2312565,0.081,97.718,1.27,,0.002,,97.718,address,9.465,97.718
test,S2,India,2312565,1.345,73.462,9.73,23.025,3.979,80.06,79.013,name,,
test,S2,US,1871330,0.0,97.055,2.83,,0.002,,97.055,address,3.895,97.055
test,S2,US,1871330,0.0,94.011,11.283,35.354,6.248,52.672,97.742,name,,
test,S3,France,731615,2.349,97.056,0.006,,18.594,,97.056,address,0.01,97.036
test,S3,France,731615,0.001,93.419,7.946,23.734,23.945,59.678,96.867,name,,
test,S3,India,2405000,0.068,97.532,0.007,,0.001,,97.537,address,2.872,97.537
test,S3,India,2405000,0.726,83.727,10.328,24.349,4.876,77.971,87.897,name,,
test,S3,US,1945701,0.0,97.157,0.159,,0.002,,97.157,address,3.733,97.157
test,S3,US,1945701,0.0,93.693,10.951,36.146,6.395,51.939,97.389,name,,
