split,source,country,records,name_raw,name_norm,name_clean,name_fold,name_base,addr_raw,addr_norm,addr_clean,addr_fold,name_pct_distinct_lost_clean,name_pct_distinct_lost_fold_extra,name_pct_distinct_lost_base_extra,addr_pct_distinct_lost_clean,addr_pct_distinct_lost_fold_extra
train,S1,India,883188,563618,563204,561091,561091,482058,856280,856280,855771,855771,0.448,0.0,14.086,0.059,0.0
train,S1,US,1323633,976267,976266,957123,957123,828898,1274326,1274326,1274326,1274326,1.961,0.0,13.397,0.0,0.0
train,S2,India,2017799,1685529,1630118,1588663,1568294,1274392,1758287,1757928,1745253,1745253,5.747,1.282,19.782,0.741,0.0
train,S2,US,3016817,2721444,2567344,2433185,2373483,2027294,2578974,2542169,2537296,2537284,10.592,2.454,16.681,1.616,0.0
train,S3,India,2115547,1832744,1774638,1715351,1685258,1384104,1896707,1896665,1881183,1881183,6.405,1.754,19.311,0.818,0.0
train,S3,US,3170056,2825312,2705709,2565049,2502374,2172156,2736057,2734521,2731472,2731464,9.212,2.443,15.317,0.168,0.0
test,S1,France,259452,193254,193008,192994,192312,163212,244545,241603,241290,240656,0.135,0.353,15.432,1.331,0.263
test,S1,India,809986,522094,521732,519941,519941,447441,786102,786102,785663,785663,0.412,0.0,13.944,0.056,0.0
test,S1,US,663106,523924,523924,515141,515141,459954,646836,646836,646836,646836,1.676,0.0,10.713,0.0,0.0
test,S2,France,703378,618660,569917,544289,516723,425768,600065,582544,566474,554498,12.021,5.065,21.775,5.598,2.114
test,S2,India,2312565,1962248,1906552,1866267,1846715,1526553,2020535,2020091,2004079,2004079,4.891,1.048,18.203,0.814,0.0
test,S2,US,1871330,1736591,1658817,1591007,1560842,1336365,1604183,1579397,1577500,1577496,8.383,1.896,16.005,1.663,0.0
test,S3,France,731615,631992,590555,564515,536715,445089,612052,606890,590509,578237,10.677,4.925,21.156,3.52,2.078
test,S3,India,2405000,2109298,2049179,1990988,1961864,1631788,2164947,2164902,2146079,2146079,5.609,1.463,18.041,0.872,0.0
test,S3,US,1945701,1789856,1727349,1655998,1624130,1408955,1679436,1678390,1676733,1676726,7.479,1.924,14.918,0.161,0.0
