country,match_source,pairs,representation,pct_exactly_equal
India,S2,148080,name: raw,2.667
India,S3,158150,name: raw,2.682
US,S2,221472,name: raw,6.172
US,S3,236508,name: raw,5.784
India,S2,148080,name: unicode,2.667
India,S3,158150,name: unicode,2.682
US,S2,221472,name: unicode,6.172
US,S3,236508,name: unicode,5.784
India,S2,148080,name: lowercase,6.325
India,S3,158150,name: lowercase,6.563
US,S2,221472,name: lowercase,14.166
US,S3,236508,name: lowercase,13.065
India,S2,148080,name: norm,10.195
India,S3,158150,name: norm,11.377
US,S2,221472,name: norm,19.275
US,S3,236508,name: norm,18.791
India,S2,148080,name: clean,14.997
India,S3,158150,name: clean,16.986
US,S2,221472,name: clean,27.277
US,S3,236508,name: clean,26.888
India,S2,148080,name: fold,17.507
India,S3,158150,name: fold,20.158
US,S2,221472,name: fold,31.956
US,S3,236508,name: fold,31.575
India,S2,148080,name: base,40.854
India,S3,158150,name: base,42.324
US,S2,221472,name: base,50.44
US,S3,236508,name: base,46.137
India,S2,148080,name: base+fold,43.11
India,S3,158150,name: base+fold,45.015
US,S2,221472,name: base+fold,55.51
US,S3,236508,name: base+fold,51.146
India,S2,148080,address: raw,0.0
India,S3,158150,address: raw,4.078
US,S2,221472,address: raw,0.0
US,S3,236508,address: raw,4.38
India,S2,148080,address: unicode,0.0
India,S3,158150,address: unicode,4.078
US,S2,221472,address: unicode,0.0
US,S3,236508,address: unicode,4.38
India,S2,148080,address: lowercase,9.526
India,S3,158150,address: lowercase,4.095
US,S2,221472,address: lowercase,10.987
US,S3,236508,address: lowercase,4.38
India,S2,148080,address: norm,9.616
India,S3,158150,address: norm,4.095
US,S2,221472,address: norm,11.503
US,S3,236508,address: norm,4.38
India,S2,148080,address: placeholder,9.984
India,S3,158150,address: placeholder,4.098
US,S2,221472,address: placeholder,11.996
US,S3,236508,address: placeholder,4.38
India,S2,148080,address: clean,11.502
India,S3,158150,address: clean,4.101
US,S2,221472,address: clean,13.887
US,S3,236508,address: clean,4.38
India,S2,148080,address: fold,11.502
India,S3,158150,address: fold,4.101
US,S2,221472,address: fold,13.887
US,S3,236508,address: fold,4.38
India,S2,148080,numbers as written (set),61.087
India,S3,158150,numbers as written (set),56.494
US,S2,221472,numbers as written (set),57.145
US,S3,236508,numbers as written (set),66.43
India,S2,148080,numbers zero-stripped (set),64.138
India,S3,158150,numbers zero-stripped (set),58.817
US,S2,221472,numbers zero-stripped (set),60.798
US,S3,236508,numbers zero-stripped (set),70.153
