country,s1_name_clean,match_name_raw,match_name_clean
US,physical therapy valley care associates group,PHYSICALTHERAPYVALLEY.COM,physicaltherapyvalley com
US,atlantic united pizza,At1antic United  Pizza,at1antic united pizza
US,ur metropolitan property llc,UR METROPOLITAN PROPERTY LLC - 3027787816,ur metropolitan property llc 3027787816
US,hiett sherill do md pc,"Hiett, Sherill, D.0., M.D., P.C.",hiett sherill d 0 md pc
US,martins patriot jewelers inc,Martin's Patriot Inc Center,martins patriot inc center
India,alpha media limited,अल्फा मीडिया लिमिटेड,अल्फा मीडिया लिमिटेड
India,dza ventures private limited,DZA Venutsre Private Limited,dza venutsre private limited
India,excellent & co,Exelleht & Co,exelleht & co
India,ramling & co,M/s Ramling &  Co,m s ramling & co
India,nishad logistics private limited,Nishad Private Limited Center,nishad private limited center
