case,file,entity_id,country_clean,business_name_raw,name_clean,name_base,name_legal_forms,business_address_raw,address_clean,address_numbers
mojibake repaired,train S2,S2-868063300,India,आनंद आईटी प्राइवेट लिमिटेड,आनंद आईटी प्राइवेट लिमिटेड,आनंद आईटी,"pvt,ltd","LV TNWER SA Â 94, D.D. PURAM, BAREILLY, Uttar Pradesh",lv tnwer sa 94 dd puram bareilly uttar pradesh,94
mojibake repaired,train S3,S3-563019040,India,North Finance Public Limited,north finance public limited,north finance public,ltd,"#640 Unit No.1530, 15Th Floor, Wingâ B, One Bkc, Plot No. C-66, G Block, Bandra Kurla Com, Plex, Mumbai, Mumbai City, MH",640 unit no 1530 15th floor wing b one bkc plot no c 66 g block bandra kurla com plex mumbai mumbai city mh,"640,1530,15,66"
zero-width char removed,train S2,S2-445627614,India,ಪರ್ಫೆಕ್ಟ್ ಕನ್‌ಸ್ಟ್ರಕ್ಷನ್ಸ್ ಲಿಮಿಟೆಡ್,ಪರ್ಫೆಕ್ಟ್ ಕನ್ಸ್ಟ್ರಕ್ಷನ್ಸ್ ಲಿಮಿಟೆಡ್,ಪರ್ಫೆಕ್ಟ್ ಕನ್ಸ್ಟ್ರಕ್ಷನ್ಸ್,ltd,"Karnataka, MILLERS ROAD, BENSON TOWN, NANDIDURGA ROAD, BANGALORE NORTH, BANGALORE, DOOR NO 16",karnataka millers road benson town nandidurga road bangalore north bangalore door no 16,16
zero-width char removed,train S3,S3-271543386,India,బ్రైట్ కన్‌స్ట్రక్షన్ ఎల్‌ఎల్‌పీ,బ్రైట్ కన్స్ట్రక్షన్ ఎల్ఎల్పీ,బ్రైట్ కన్స్ట్రక్షన్ ఎల్ఎల్పీ,"","Secunderabad, Phase Ii, Ida Cherlapally Secunderabad, Dor No 116, Hyderabad, TG",secunderabad phase ii ida cherlapally secunderabad dor no 116 hyderabad tg,116
dotted acronym joined,train S2,S2-76349004,US,Kolk Secure Starlink L.L.C.,kolk secure starlink llc,kolk secure starlink,llc,,,
dotted acronym joined,train S3,S3-975113880,US,Pacific L.L.C. Services,pacific llc services,pacific services,llc,"001751 Airline Rd, Alexander, Maine",001751 airline rd alexander maine,1751
apostrophe joined,train S2,S2-803740918,US,SERVICES AMELITA'S PIEDMONT LLC,services amelitas piedmont llc,services amelitas piedmont,llc,"008445 BRANDON DRIVE, AL, CITRONELLE",008445 brandon drive al citronelle,8445
apostrophe joined,train S3,S3-171901473,US,Estell's Creative,estells creative,estells creative,"","15380 Fillmore Street, Unit 1006, Goodyear, Arizona",15380 fillmore street unit 1006 goodyear arizona,"15380,1006"
leading junk / brackets,train S2,S2-755159846,India,Jupiter Consulting (India) Private - 9635314554,jupiter consulting india private 9635314554,jupiter consulting india 9635314554,pvt,"#200 341/1, PHOOL BAGH COLONY, MEERUT, उत्तर प्रदेश",200 341 1 phool bagh colony meerut उत्तर प्रदेश,"200,341,1"
leading junk / brackets,train S3,S3-30824703,US,Kader Renewables Inc (Service),kader renewables inc service,kader renewables service,inc,"305 Pine Street, Montana, Manhattan",305 pine street montana manhattan,305
repeated whitespace,train S2,S2-591536531,US,Harris and Luis  Sachs,harris and luis sachs,harris and luis sachs,"","46 6400, GRANTSVILLE, UT",46 6400 grantsville ut,"46,6400"
repeated whitespace,train S3,S3-380295664,US,Martinez Sunstone  West Inc,martinez sunstone west inc,martinez sunstone west,inc,"1209-1211 Maryland Ave, Canton Township, Ohio",1209 1211 maryland ave canton township ohio,"1209,1211"
domain-only name,train S2,S2-516030727,India,rnvbrothers.com,rnvbrothers com,rnvbrothers com,"","02 CRESCENT CHAMBERS 3RD FLR56 TAMARIND LANE FORT, MUMBAI, Maharashtra",02 crescent chambers 3rd flr56 tamarind lane fort mumbai maharashtra,"2,3,56"
domain-only name,train S3,S3-496602823,India,Technologiesprivateosprivate.Com,technologiesprivateosprivate com,technologiesprivateosprivate com,"","Block No G-06, Nashik, महाराष्ट्र",block no g 06 nashik महाराष्ट्र,6
legal form first,train S2,S2-61330089,US,LLC Liberty Cgpoley,llc liberty cgpoley,liberty cgpoley,llc,"3427 Pachmann Rd, RIO RANCHO, NM",3427 pachmann rd rio rancho nm,3427
legal form first,train S3,S3-323153716,US,LLC Safe Newbury,llc safe newbury,safe newbury,llc,"Evening Star Way, Sequim, Washington",evening star way sequim washington,""
Indic legal form,train S2,S2-406252165,India,सिटी आदित्य एनर्जी लिमिटेड,सिटी आदित्य एनर्जी लिमिटेड,सिटी आदित्य एनर्जी,ltd,"FL NO B2/ 401 SRNO 288/1 2/2 THE VILLAGE SAT PUNE CITY, PUNE, महाराष्ट्र",fl no b2 401 srno 288 1 2 2 the village sat pune city pune महाराष्ट्र,"2,401,288,1,2,2"
Indic legal form,train S3,S3-8241507,India,फ्यूचर एग्रो प्रा. लि.,फ्यूचर एग्रो प्रा लि,फ्यूचर एग्रो,"pvt,ltd","C/o Bhaskarrao Shrimantrao Kawde House No 128/2 Vaijoda Partur, Jalna, महाराष्ट्र",c o bhaskarrao shrimantrao kawde house no 128 2 vaijoda partur jalna महाराष्ट्र,"128,2"
placeholder segment,train S2,S2-731682240,India,SOUTHERN SOUTHERN ERPOBCTS LIMITED,southern southern erpobcts limited,southern southern erpobcts,ltd,"51/150-38-10 NGO COLONY, RAYACHOTI, N/A, ఆంధ్రప్రదేశ్",51 150 38 10 ngo colony rayachoti ఆంధ్రప్రదేశ్,"51,150,38,10"
placeholder segment,train S3,S3-556010465,India,Private Services Next Rajesh Exports Limited,private services next rajesh exports limited,services next rajesh exports,"pvt,ltd","Sec Kondivita Co Op Housing Society Ltd Building No 2 Flat No 24 Road, <NULL>, Mumbai, Mumbai City, MH",sec kondivita co op housing society ltd building no 2 flat no 24 road mumbai mumbai city mh,"2,24"
French accents,test S2,S2-337081681,France,Mérignac Comite SARL,mérignac comite sarl,mérignac comite,sarl,"NO 3 ALL. HENRI MATISSE, MÉRIGNAC",no 3 all henri matisse mérignac,3
