split,source,country_clean,postal_code_candidate,business_address_raw
train,S1,India,600059,"11, Ayyaswamy Nagareast Tambaram Chennai-600 059., Tamilnadu, Tamil Nadu"
train,S1,India,625016,"Harveynagar, Tamil Nadu, Madurai - 625 016., Harveynagar, No.41, Srisairamno.41"
train,S1,India,600118,"L/3, Sidco Industrial Estate, Kodungaiyur Chennai-600 118 Kodungaiyur, Chennai-600, 118, Kodungaiyur, Chennai-600 118, Tamil Nadu"
train,S2,India,600017,"6-46B, SOUTH BOAG ROAD, T.NAGAR, MADRAS-600 017., MADRAS-600 017., Tamil Nadu"
train,S2,India,400706,"D-112, TTC INDUSTRIAL AREA, MIDC, NERUL, NAVI MUMBAI - 400 706, Maharashtra"
train,S2,India,600017,"CHENNAI, CHENNAI-600 017., Tamil Nadu, G22"
train,S3,India,400021,"#81 Mafatlal Centre, 11Th Floor, Nariman Point, Mumbai Â 400 021, Mumbai City, Mumbai, MH"
train,S3,India,600094,"17, Madras-600 094, Chennai, TN"
train,S3,India,600096,"TN, 169, Chennai - 600 096., Balamurugan Garden, Thoraipakkam"
test,S1,India,600040,"16Th Main Roadannanagar West Chennai-600 040., Tamil Nadu, 1498, Chennai, Chennai-600 040."
test,S1,India,600094,"B-6, Ananthi Apartments, 13/12, Zakariah Colony, Iii Street, Choolaimedu, Chennai - 600 094., Tamil Nadu"
test,S1,India,600004,"New No.103/1, Luz Church Road, Mylapore, Chennai - 600 004, Tamil Nadu"
test,S2,India,600006,"Tamil Nadu, 12TH, IST STREETHADDOWS ROAD MADRAS-600 006, MADRAS-600 006"
test,S2,India,600015,"DOOR NO 32 , POTTERS STREET, SAIDAPET, CHENNAI - 600 015., CHENNAI - 600 015., Tamil Nadu"
test,S2,India,400021,"HN 530 65, ATLANTA, NARIMAN POINT, MUMBAI- 400 021., महाराष्ट्र"
test,S3,France,59260,"28 Rue Faidherbe, 59260, Lille, Nord"
test,S3,India,560048,"White Field Road, Mahadevapura Post, Bangalore-560 048., Bangalore, KA"
test,S3,India,600031,"#21, Mc Nichols Road, Chetpet, Chennai, Chennai - 600 031., TN"
