representation,pct_equal_India_S1-S2 (n=74391),pct_equal_India_S1-S3 (n=79247),pct_equal_US_S1-S2 (n=110848),pct_equal_US_S1-S3 (n=118074)
name raw,2.71,2.69,6.16,5.74
name norm,10.26,11.42,19.23,18.8
name clean,15.09,17.03,27.31,26.83
name clean folded,17.69,20.24,32.05,31.58
name base,41.03,42.41,50.31,45.94
name sorted tokens,19.88,21.54,33.17,32.34
address raw,0.0,4.02,0.0,4.5
address norm,9.62,4.04,11.62,4.5
address clean,11.47,4.04,13.95,4.5
address clean folded,11.47,4.04,13.95,4.5
address sorted tokens,15.5,5.84,19.89,6.41
address numbers (as sets),63.94,59.12,60.77,70.1
