split,source,country,form,occurrences,records,per_100_records
test,S1,France,sarl,73486,259452,28.324
test,S1,France,sas,52278,259452,20.149
test,S1,France,eurl,16980,259452,6.545
test,S1,France,sa,12767,259452,4.921
test,S1,France,sasu,10721,259452,4.132
test,S1,France,sci,8360,259452,3.222
test,S1,France,co,84,259452,0.032
test,S1,France,lp,42,259452,0.016
test,S1,France,corp,22,259452,0.008
test,S1,France,pc,18,259452,0.007
test,S1,France,pvt,5,259452,0.002
test,S1,France,inc,3,259452,0.001
test,S1,France,llp,2,259452,0.001
test,S1,France,snc,1,259452,0.0
test,S1,France,ltd,1,259452,0.0
test,S1,India,ltd,611711,809986,75.521
test,S1,India,pvt,507280,809986,62.628
test,S1,India,llp,35503,809986,4.383
test,S1,India,co,23979,809986,2.96
test,S1,India,corp,13038,809986,1.61
test,S1,India,sas,114,809986,0.014
test,S1,India,sa,93,809986,0.011
test,S1,India,pc,89,809986,0.011
test,S1,India,lp,55,809986,0.007
test,S1,India,gmbh,25,809986,0.003
test,S1,India,sci,17,809986,0.002
test,S1,India,llc,10,809986,0.001
test,S1,India,snc,5,809986,0.001
test,S1,US,llc,189052,663106,28.51
test,S1,US,inc,119200,663106,17.976
test,S1,US,pc,25071,663106,3.781
test,S1,US,corp,17678,663106,2.666
test,S1,US,pllc,10220,663106,1.541
test,S1,US,lp,8363,663106,1.261
test,S1,US,co,7665,663106,1.156
test,S1,US,ltd,1597,663106,0.241
test,S1,US,llp,534,663106,0.081
test,S1,US,pvt,266,663106,0.04
test,S1,US,sa,11,663106,0.002
test,S1,US,sas,1,663106,0.0
test,S2,France,sarl,153590,703378,21.836
test,S2,France,sas,113023,703378,16.069
test,S2,France,eurl,46729,703378,6.644
test,S2,France,sa,38433,703378,5.464
test,S2,France,sasu,34707,703378,4.934
test,S2,France,sci,30357,703378,4.316
test,S2,France,snc,8277,703378,1.177
test,S2,France,pc,251,703378,0.036
test,S2,France,co,249,703378,0.035
test,S2,France,lp,156,703378,0.022
test,S2,France,corp,55,703378,0.008
test,S2,France,pvt,13,703378,0.002
test,S2,France,inc,7,703378,0.001
test,S2,France,llp,6,703378,0.001
test,S2,France,ltd,5,703378,0.001
test,S2,France,plc,2,703378,0.0
test,S2,India,ltd,1458014,2312565,63.047
test,S2,India,pvt,1225593,2312565,52.997
test,S2,India,llp,120930,2312565,5.229
test,S2,India,co,73800,2312565,3.191
test,S2,India,corp,47902,2312565,2.071
test,S2,India,sa,334,2312565,0.014
test,S2,India,sas,323,2312565,0.014
test,S2,India,pc,246,2312565,0.011
test,S2,India,lp,159,2312565,0.007
test,S2,India,gmbh,72,2312565,0.003
test,S2,India,sci,51,2312565,0.002
test,S2,India,llc,35,2312565,0.002
test,S2,India,snc,12,2312565,0.001
test,S2,India,plc,2,2312565,0.0
test,S2,India,inc,1,2312565,0.0
test,S2,India,sarl,1,2312565,0.0
test,S2,US,llc,358452,1871330,19.155
test,S2,US,inc,273484,1871330,14.614
test,S2,US,corp,120061,1871330,6.416
test,S2,US,co,87088,1871330,4.654
test,S2,US,ltd,76983,1871330,4.114
test,S2,US,pc,39338,1871330,2.102
test,S2,US,lp,28465,1871330,1.521
test,S2,US,pllc,16148,1871330,0.863
test,S2,US,llp,671,1871330,0.036
