split,source,country,script,records,pct
train,S1,India,Latin,883188,100.0
train,S1,US,Latin,1323633,100.0
train,S2,India,Oriya,7194,0.357
train,S2,India,Bengali,29497,1.462
train,S2,India,Latin+Gujarati,1229,0.061
train,S2,India,Latin+Devanagari,10561,0.523
train,S2,India,Devanagari,258863,12.829
train,S2,India,Telugu,37799,1.873
train,S2,India,Gujarati,29700,1.472
train,S2,India,Latin+Gurmukhi,271,0.013
train,S2,India,Gurmukhi,6417,0.318
train,S2,India,Tamil,32440,1.608
train,S2,India,Latin+Telugu,1524,0.076
train,S2,India,Latin+Tamil,1341,0.066
train,S2,India,Latin+Malayalam,711,0.035
train,S2,India,Latin,1543454,76.492
train,S2,India,Kannada,35787,1.774
train,S2,India,Malayalam,18062,0.895
train,S2,India,Latin+Kannada,1424,0.071
train,S2,India,Latin+Bengali,1226,0.061
train,S2,India,Latin+Oriya,299,0.015
train,S2,US,None,194,0.006
train,S2,US,Latin,3016623,99.994
train,S3,India,Latin+Gujarati,2274,0.107
train,S3,India,Latin+Tamil,2444,0.116
train,S3,India,Latin+Kannada,2741,0.13
train,S3,India,Telugu,20088,0.95
train,S3,India,Oriya,3781,0.179
train,S3,India,Kannada,19254,0.91
train,S3,India,Latin+Telugu,2945,0.139
train,S3,India,Latin+Bengali,2281,0.108
train,S3,India,Devanagari,138187,6.532
train,S3,India,Gurmukhi,3606,0.17
train,S3,India,Latin+Malayalam,1357,0.064
train,S3,India,Latin+Devanagari,19816,0.937
train,S3,India,Malayalam,9759,0.461
train,S3,India,Latin,1837023,86.834
train,S3,India,Latin+Gurmukhi,500,0.024
train,S3,India,Latin+Oriya,536,0.025
train,S3,India,Bengali,15863,0.75
train,S3,India,Gujarati,15746,0.744
train,S3,India,Tamil,17346,0.82
train,S3,US,Latin,3169633,99.987
train,S3,US,None,423,0.013
test,S1,France,Latin,259452,100.0
test,S1,India,Latin,809986,100.0
test,S1,US,Latin,663106,100.0
test,S2,France,Latin,703368,99.999
test,S2,France,None,10,0.001
test,S2,India,Latin+Telugu,1768,0.076
test,S2,India,Gujarati,34018,1.471
test,S2,India,Latin+Devanagari,11499,0.497
test,S2,India,Latin+Tamil,1495,0.065
test,S2,India,Gurmukhi,7618,0.329
test,S2,India,Latin+Oriya,338,0.015
test,S2,India,Latin+Malayalam,879,0.038
test,S2,India,Devanagari,297604,12.869
test,S2,India,Latin+Gujarati,1303,0.056
test,S2,India,Bengali,34207,1.479
test,S2,India,Latin,1765959,76.364
test,S2,India,Latin+Kannada,1650,0.071
test,S2,India,Oriya,8332,0.36
test,S2,India,Tamil,37458,1.62
test,S2,India,Latin+Bengali,1339,0.058
test,S2,India,Malayalam,21154,0.915
test,S2,India,Latin+Gurmukhi,285,0.012
test,S2,India,Telugu,43403,1.877
test,S2,India,Kannada,42256,1.827
test,S2,US,Latin,1871229,99.995
test,S2,US,None,101,0.005
test,S3,France,Latin,731604,99.998
test,S3,France,None,11,0.002
test,S3,India,Devanagari,158605,6.595
test,S3,India,Latin+Devanagari,22463,0.934
test,S3,India,Latin+Gurmukhi,573,0.024
test,S3,India,Bengali,18297,0.761
test,S3,India,Latin+Malayalam,1624,0.068
test,S3,India,Gurmukhi,4061,0.169
test,S3,India,Telugu,23268,0.967
test,S3,India,Tamil,19994,0.831
test,S3,India,Latin+Oriya,606,0.025
test,S3,India,Latin+Tamil,2814,0.117
test,S3,India,Oriya,4456,0.185
test,S3,India,Malayalam,11471,0.477
test,S3,India,Latin+Gujarati,2649,0.11
test,S3,India,Latin+Bengali,2575,0.107
test,S3,India,Latin,2084361,86.668
test,S3,India,Latin+Telugu,3430,0.143
test,S3,India,Kannada,22706,0.944
test,S3,India,Gujarati,17921,0.745
test,S3,India,Latin+Kannada,3126,0.13
test,S3,US,None,227,0.012
test,S3,US,Latin,1945474,99.988
