split,source,field,stage_no,stage,note,records,non_null,n_unique,records_changed,pct_changed,became_null,new_collision_keys,rows_in_new_collisions,cum_collision_keys,rows_in_cum_collisions,unique_reduction_vs_prev,pct_unique_reduction_vs_raw
train,S1,address,0,raw,original value,2206821,2206821,2130606,0,0.0,0,0,0,0,0,0,0.0
train,S1,address,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",2206821,2206821,2130606,813,0.037,0,0,0,0,0,0,0.0
train,S1,address,2,lowercase,lower-case,2206821,2206821,2130606,2206821,100.0,0,0,0,0,0,0,0.0
train,S1,address,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",2206821,2206821,2130606,1035,0.047,0,0,0,0,0,0,0.0
train,S1,address,4,placeholder,drop whole segments NULL/null/<NULL>/N/A,2206821,2206821,2130606,31,0.001,0,0,0,0,0,0,0.0
train,S1,address,5,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",2206821,2206821,2130097,2206821,100.0,0,507,1042,507,1042,509,0.024
train,S1,address,6,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),2206821,2206821,2130097,27,0.001,0,0,0,507,1042,0,0.024
train,S1,name,0,raw,original value,2206821,2206821,1539229,0,0.0,0,0,0,0,0,0,0.0
train,S1,name,1,unicode,"mojibake repair, NFKC, drop zero-width/format chars, control->space, unify quotes/dashes",2206821,2206821,1539229,1,0.0,0,0,0,0,0,0,0.0
train,S1,name,2,lowercase,lower-case,2206821,2206821,1538804,2206821,100.0,0,425,1714,425,1714,425,0.028
train,S1,name,3,whitespace,"collapse/strip whitespace  (= *_norm, stored)",2206821,2206821,1538804,0,0.0,0,0,0,425,1714,0,0.028
train,S1,name,4,punctuation,"apostrophes joined, dotted acronyms joined, punctuation->space  (= *_clean, stored)",2206821,2206821,1517547,385860,17.485,0,18573,140862,18982,142531,21257,1.409
train,S1,name,5,diacritic_fold,strip accents on Latin letters (NOT stored; on-demand transform),2206821,2206821,1517547,0,0.0,0,0,0,18982,142531,0,1.409
train,S1,name,6,legal_removed,"drop legal-form tokens  (= name_base, stored as extra representation)",2206821,2206813,1307678,1497949,67.878,8,134683,937033,138802,947205,209869,15.043
