split,source,country,records,with_candidate,example
train,S1,India,883188,1300,100104
train,S1,US,1323633,64,50229
train,S2,India,2017799,2361,100104
train,S2,US,3016817,143,10480
train,S3,India,2115547,2554,100104
train,S3,US,3170056,163,04401
test,S1,France,259452,259,10079
test,S1,India,809986,1248,101105
test,S1,US,663106,18,75182
test,S2,France,703378,443,10079
test,S2,India,2312565,2857,101105
test,S2,US,1871330,69,10180
test,S3,France,731615,498,10079
test,S3,India,2405000,3088,101105
test,S3,US,1945701,61,10620
