pattern,entity_id,country_clean,business_name_raw,name_clean,business_address_raw,address_clean
"name: letter-digit mixed token (typo such as hea1th, or real e.g. 3m)",S1-777107234,India,2Nd Stage Peenya Industrial Estate Steel Private Limited,2nd stage peenya industrial estate steel private limited,"2Nd Stage Peenya Industrial Estate, Bangalore, 9Th Main Road, Karnataka, #V - 40",2nd stage peenya industrial estate bangalore 9th main road karnataka v 40
"name: letter-digit mixed token (typo such as hea1th, or real e.g. 3m)",S1-576364821,India,80Feet Ring Road Realtors Pvt Ltd,80feet ring road realtors pvt ltd,"C/O Sanjay Industrial Corporation 2 - Patel Nagar, 80Feet Ring Road, Rajkot, Gujarat",c o sanjay industrial corporation 2 patel nagar 80feet ring road rajkot gujarat
"name: letter-digit mixed token (typo such as hea1th, or real e.g. 3m)",S2-382377359,US,Interstate Ridge Tsak0s L.L.C.,interstate ridge tsak0s llc,"09 FIR LN, INCORPORATED, IL",09 fir ln incorporated il
"name: letter-digit mixed token (typo such as hea1th, or real e.g. 3m)",S2-221108126,India,Overseas 5angh Amar,overseas 5angh amar,"SASARAM, NO B3/25 C/O SRI SAGAR SONKAR, Bihar, ROHTAS, GHASI TOLA ALAMGANJ",sasaram no b3 25 c o sri sagar sonkar bihar rohtas ghasi tola alamganj
"name: letter-digit mixed token (typo such as hea1th, or real e.g. 3m)",S3-509442398,India,New Delhi Techn0logies Private Limited,new delhi techn0logies private limited,,
"name: letter-digit mixed token (typo such as hea1th, or real e.g. 3m)",S3-109529398,US,Onco1ogy Legacy Physicians [Inc.],onco1ogy legacy physicians inc,"Ohio, Columbus, 5491 York County Road",ohio columbus 5491 york county road
name: non-Latin script (untransliterated),S2-840004711,India,సెవెన్ గ్లోబల్ ప్రైవేట్ లిమిటెడ్,సెవెన్ గ్లోబల్ ప్రైవేట్ లిమిటెడ్,"FT NO.8-3-237/A/3, L.N NAGAR YOUSUFGUDA, HYDERABAD, Telangana",ft no 8 3 237 a 3 ln nagar yousufguda hyderabad telangana
name: non-Latin script (untransliterated),S2-946955701,India,ಈಸ್ಟ್ ಪವರ್ ಲಿಮಿಟೆಡ್,ಈಸ್ಟ್ ಪವರ್ ಲಿಮಿಟೆಡ್,"DOOR NO 228/34 10TH MAIN, BENGALURU, BANGALORE, ಕರ್ನಾಟಕ",door no 228 34 10th main bengaluru bangalore ಕರ್ನಾಟಕ
name: non-Latin script (untransliterated),S3-534662788,India,ರಾಮ್ ಬಿಸಿನೆಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,ರಾಮ್ ಬಿಸಿನೆಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"Door No. 2-12 A1a, Mezzanine Floor, Gsj Royale Apartment, Udupi, ಕರ್ನಾಟಕ",door no 2 12 a1a mezzanine floor gsj royale apartment udupi ಕರ್ನಾಟಕ
name: non-Latin script (untransliterated),S3-482178047,India,செவன் சொல்யூஷன்ஸ் பிரைவேட் லிமிடெட்,செவன் சொல்யூஷன்ஸ் பிரைவேட் லிமிடெட்,"527 302, Block 18B, Bollineni Hillside, Perumbakkam Main Road, Chennai, TN",527 302 block 18b bollineni hillside perumbakkam main road chennai tn
