entity_id,split,source,country_clean,business_name_raw,name_norm,name_clean,name_tokens,name_base,name_legal_forms,name_domain,name_script,business_address_raw,address_norm,address_clean,address_segments,address_numbers,postal_code_candidate
S1-194965685,train,S1,India,PC Movement Pvt. Ltd.,pc movement pvt. ltd.,pc movement pvt ltd,pc | movement | pvt | ltd,movement,pc | pvt | ltd,,Latin,"Plot No-475(P), Cosmopolis Road Iginia, Bhubaneswar, Odisha, Bhubaneswar, Khordha, Orissa","plot no-475(p), cosmopolis road iginia, bhubaneswar, odisha, bhubaneswar, khordha, orissa",plot no 475 p cosmopolis road iginia bhubaneswar odisha bhubaneswar khordha orissa,plot no 475 p | cosmopolis road iginia | bhubaneswar | odisha | bhubaneswar | khordha | orissa,475,
S1-293909320,train,S1,India,S.G.Highway Krishna Limited,s.g.highway krishna limited,sghighway krishna limited,sghighway | krishna | limited,sghighway krishna,ltd,,Latin,"A-204, Solitaire Corporate Park, Near Divya Bhaskar Press, S.G.Highway, Ahmedabad, Gujarat","a-204, solitaire corporate park, near divya bhaskar press, s.g.highway, ahmedabad, gujarat",a 204 solitaire corporate park near divya bhaskar press sghighway ahmedabad gujarat,a 204 | solitaire corporate park | near divya bhaskar press | sghighway | ahmedabad | gujarat,204,
S1-330969930,train,S1,India,Ke Consultancy Private Limited,ke consultancy private limited,ke consultancy private limited,ke | consultancy | private | limited,ke consultancy,pvt | ltd,,Latin,"# 64, Pocket-1, Block ÂA, Sector-17, Rohini, Delhi, North West, Delhi","# 64, pocket-1, block -a, sector-17, rohini, delhi, north west, delhi",64 pocket 1 block a sector 17 rohini delhi north west delhi,64 | pocket 1 | block a | sector 17 | rohini | delhi | north west | delhi,64 | 1 | 17,
S1-502288504,train,S1,US,Knott's Advanced Manufacturing,knott's advanced manufacturing,knotts advanced manufacturing,knotts | advanced | manufacturing,knotts advanced manufacturing,"",,Latin,"137 Main Street, Elk Park, NC","137 main street, elk park, nc",137 main street elk park nc,137 main street | elk park | nc,137,
S1-518860674,train,S1,US,Korth's Hair Studio,korth's hair studio,korths hair studio,korths | hair | studio,korths hair studio,"",,Latin,"NC, Holly Springs, 369 Golf Vista Trail","nc, holly springs, 369 golf vista trail",nc holly springs 369 golf vista trail,nc | holly springs | 369 golf vista trail,369,
S1-685073108,train,S1,US,Kylie's Hair Studio,kylie's hair studio,kylies hair studio,kylies | hair | studio,kylies hair studio,"",,Latin,"15083 County Road 1400, Apache, OK","15083 county road 1400, apache, ok",15083 county road 1400 apache ok,15083 county road 1400 | apache | ok,15083 | 1400,
S2-103466554,train,S2,US,Sorcha-Poe [Compass],sorcha-poe [compass],sorcha poe compass,sorcha | poe | compass,sorcha poe compass,"",,Latin,"4361 NORTHGATE DRIVE, IRVING, TX","4361 northgate drive, irving, tx",4361 northgate drive irving tx,4361 northgate drive | irving | tx,4361,
S2-290146361,train,S2,US,Biia Metropolitan Cánada Partners LP,biia metropolitan cánada partners lp,biia metropolitan cánada partners lp,biia | metropolitan | cánada | partners | lp,biia metropolitan cánada partners,lp,,Latin,"DALLAS, 010214 BRIDGEGATE WAY, TX","dallas, 010214 bridgegate way, tx",dallas 010214 bridgegate way tx,dallas | 010214 bridgegate way | tx,10214,
S2-298914373,train,S2,India,*** Sai Tech Private Limited,*** sai tech private limited,sai tech private limited,sai | tech | private | limited,sai tech,pvt | ltd,,Latin,"A-0342, GAUTAM BUDDHA NAGAR, NOIDA, Uttar Pradesh","a-0342, gautam buddha nagar, noida, uttar pradesh",a 0342 gautam buddha nagar noida uttar pradesh,a 0342 | gautam buddha nagar | noida | uttar pradesh,342,
S2-921776853,train,S2,US,... Castanon's Barmt Eye Care Partners,... castanon's barmt eye care partners,castanons barmt eye care partners,castanons | barmt | eye | care | partners,castanons barmt eye care partners,"",,Latin,"005355 HUDSON RD, GLWAY, NY","005355 hudson rd, glway, ny",005355 hudson rd glway ny,005355 hudson rd | glway | ny,5355,
