split,source,country,records,pct_name_missing,pct_address_missing,pct_country_missing,pct_name_is_upper,pct_name_is_lower,pct_name_has_digits,pct_name_has_non_latin,pct_name_has_latin_diacritics,pct_name_has_domain,pct_name_is_domain_only,pct_name_has_special_chars,pct_name_has_brackets,pct_name_has_leading_junk,pct_name_has_repeated_whitespace,pct_name_has_encoding_artifact,pct_name_has_legal_form,pct_name_legal_at_start,pct_name_legal_only,pct_name_clean_empty,pct_address_is_upper,pct_address_has_digits,pct_address_has_non_latin,pct_address_has_latin_diacritics,pct_address_has_special_chars,pct_address_has_encoding_artifact,pct_address_has_placeholder,pct_address_placeholder_only,pct_address_has_zero_padded_number,pct_address_has_landmark,pct_address_has_care_of,pct_postal_code_candidate,pct_name_has_numbers,pct_address_has_numbers,name_tokens_mean,name_tokens_median,address_tokens_mean,address_tokens_median,address_segments_mean,name_len_raw_mean,name_len_clean_mean,address_len_raw_mean,address_len_clean_mean
train,S1,India,883188,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.014,5.146,0.144,0.0,0.0,84.291,0.049,0.0,0.0,0.0,91.278,0.0,0.063,1.418,0.068,0.002,0.0,2.976,13.597,6.199,0.147,0.124,91.278,3.744,4.0,12.309,12.0,5.659,26.39,26.22,77.7,72.35
train,S1,US,1323633,0.0,0.0,0.0,0.0,0.0,2.606,0.0,0.0,0.0,0.0,0.144,0.003,0.144,0.0,0.0,56.927,0.012,0.0,0.0,0.0,100.0,0.0,0.0,0.366,0.0,0.0,0.0,0.15,0.015,0.0,0.005,2.606,100.0,3.433,3.0,5.911,6.0,3.158,22.47,22.08,34.96,32.8
train,S2,India,2017799,0.0,2.867,0.0,14.942,4.364,3.102,23.508,4.366,3.397,2.717,4.087,9.561,1.666,10.037,0.0,79.141,4.346,0.001,0.0,24.57,94.012,24.364,0.058,12.16,0.063,3.016,0.0,6.643,11.965,6.167,0.117,3.102,94.012,3.782,4.0,11.445,11.0,4.951,27.42,26.93,70.21,65.21
train,S2,US,3016817,0.0,3.683,0.0,21.549,6.681,6.399,0.0,6.701,4.397,3.952,5.245,6.488,2.498,11.663,0.0,50.751,3.539,0.001,0.0,93.249,93.647,0.0,0.002,6.36,0.0,4.004,0.0,5.224,0.014,0.0,0.005,6.399,93.647,3.438,3.0,5.667,5.0,3.035,23.55,22.86,32.74,30.3
train,S3,India,2115547,0.0,3.07,0.0,2.583,5.219,3.365,13.166,5.325,3.644,2.921,4.529,10.107,1.785,10.536,0.0,76.324,4.87,0.006,0.0,0.04,92.908,23.202,0.047,11.454,0.052,2.834,0.0,6.155,9.105,6.107,0.121,3.365,92.908,3.781,4.0,10.455,10.0,4.82,27.04,26.54,60.98,56.3
train,S3,US,3170056,0.0,3.501,0.0,3.204,6.934,6.298,0.0,6.8,4.219,3.781,5.236,6.606,2.412,11.127,0.0,49.932,3.375,0.001,0.0,0.0,94.608,0.0,0.002,11.43,0.0,3.809,0.0,5.008,0.015,0.0,0.005,6.298,94.608,3.52,3.0,6.075,6.0,3.157,23.98,23.29,39.84,37.2
test,S1,France,259452,0.0,0.0,0.0,0.001,0.0,0.772,0.0,15.721,0.0,0.0,0.064,8.014,0.06,0.0,0.001,67.311,0.061,0.0,0.0,0.0,99.58,0.0,27.843,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.1,0.772,99.58,3.144,3.0,8.611,8.0,3.039,19.42,19.26,50.07,47.96
test,S1,India,809986,0.0,0.0,0.0,0.0,0.0,0.131,0.0,0.0,0.0,0.0,0.014,5.156,0.148,0.0,0.0,84.257,0.046,0.0,0.0,0.0,91.266,0.0,0.057,1.429,0.065,0.002,0.0,3.041,13.579,6.234,0.154,0.131,91.266,3.743,4.0,12.31,12.0,5.663,26.37,26.21,77.71,72.35
test,S1,US,663106,0.0,0.0,0.0,0.0,0.0,2.585,0.0,0.0,0.0,0.0,0.137,0.002,0.137,0.0,0.0,56.868,0.01,0.0,0.0,0.0,100.0,0.0,0.0,0.356,0.0,0.0,0.0,0.146,0.015,0.0,0.003,2.585,100.0,3.431,3.0,5.911,6.0,3.158,22.46,22.08,34.97,32.8
test,S2,France,703378,0.0,3.062,0.0,20.805,6.538,1.111,0.0,24.541,3.492,3.492,2.361,10.238,0.904,9.112,0.0,60.5,5.857,0.046,0.0,29.892,96.091,0.0,20.155,3.427,0.0,0.0,0.0,3.486,0.0,0.0,0.063,1.111,96.091,3.188,3.0,7.129,7.0,2.69,21.1,20.62,40.8,38.68
test,S2,India,2312565,0.0,2.282,0.0,14.122,3.79,2.879,23.636,3.979,2.748,2.169,3.835,9.455,1.515,9.73,0.0,80.487,4.543,0.0,0.0,24.561,95.204,24.364,0.054,12.619,0.06,2.988,0.0,6.514,11.951,6.218,0.124,2.879,95.204,3.882,4.0,11.485,11.0,4.953,28.25,27.77,70.35,65.34
test,S2,US,1871330,0.0,2.945,0.0,20.418,5.984,6.178,0.0,6.248,3.626,3.217,4.921,6.249,2.3,11.283,0.0,52.541,3.817,0.001,0.0,93.225,94.847,0.0,0.002,6.414,0.0,4.013,0.0,5.282,0.014,0.0,0.004,6.178,94.847,3.551,3.0,5.684,5.0,3.035,24.29,23.6,32.81,30.37
test,S3,France,731615,0.0,2.944,0.0,5.608,6.58,1.106,0.0,23.945,3.431,3.431,2.261,10.001,0.852,7.946,0.001,59.478,5.66,0.06,0.0,0.0,96.218,0.0,20.511,3.295,0.0,0.0,0.0,3.332,0.0,0.0,0.068,1.106,96.218,3.203,3.0,7.191,7.0,2.707,21.14,20.67,41.18,39.07
test,S3,India,2405000,0.0,2.463,0.0,2.47,4.598,3.169,13.332,4.876,2.956,2.345,4.276,10.071,1.619,10.328,0.0,78.128,5.132,0.005,0.0,0.039,94.199,23.467,0.044,12.007,0.05,2.901,0.0,6.032,8.99,6.182,0.128,3.169,94.199,3.88,4.0,10.471,10.0,4.814,27.87,27.38,60.92,56.24
test,S3,US,1945701,0.0,2.843,0.0,3.195,6.296,6.073,0.0,6.395,3.482,3.092,4.977,6.469,2.259,10.951,0.0,51.807,3.69,0.001,0.0,0.0,95.638,0.0,0.002,11.611,0.0,3.843,0.0,5.08,0.015,0.0,0.003,6.073,95.638,3.616,4.0,6.093,6.0,3.157,24.62,23.94,39.97,37.33
