split,source,n,records,field
test,S1,2,10,address
test,S1,3,225,address
test,S1,4,17497,address
test,S1,5,304950,address
test,S1,6,210564,address
test,S1,7,185169,address
test,S1,8,168855,address
test,S1,9,140777,address
test,S1,10,133869,address
test,S1,11,117678,address
test,S1,12,100136,address
test,S1,13,84105,address
test,S1,14,67740,address
test,S1,15,55292,address
test,S1,16,41600,address
test,S1,17,31607,address
test,S1,18,22910,address
test,S1,19,16511,address
test,S1,20,11843,address
test,S1,21,7779,address
test,S1,22,5189,address
test,S1,23,3258,address
test,S1,24,1971,address
test,S1,25,1113,address
test,S1,26,688,address
test,S1,27,443,address
test,S1,28,276,address
test,S1,29,169,address
test,S1,30,102,address
test,S1,31,71,address
test,S1,32,45,address
test,S1,33,20,address
test,S1,34,23,address
test,S1,35,18,address
test,S1,36,11,address
test,S1,37,7,address
test,S1,38,4,address
test,S1,39,7,address
test,S1,40,12,address
test,S1,1,7299,name
test,S1,2,214590,name
test,S1,3,597798,name
test,S1,4,706477,name
test,S1,5,178489,name
test,S1,6,23219,name
test,S1,7,3382,name
test,S1,8,902,name
test,S1,9,262,name
test,S1,10,72,name
test,S1,11,30,name
test,S1,12,11,name
test,S1,13,7,name
test,S1,14,5,name
test,S1,15,1,name
test,S2,,129408,address
test,S2,1,178,address
test,S2,2,265,address
test,S2,3,14396,address
test,S2,4,166713,address
test,S2,5,1013316,address
test,S2,6,791788,address
test,S2,7,471751,address
test,S2,8,362879,address
test,S2,9,316440,address
test,S2,10,293367,address
test,S2,11,266865,address
test,S2,12,234608,address
test,S2,13,198628,address
test,S2,14,161753,address
test,S2,15,129355,address
test,S2,16,97532,address
test,S2,17,72909,address
test,S2,18,53514,address
test,S2,19,37959,address
test,S2,20,26374,address
test,S2,21,17521,address
test,S2,22,11321,address
test,S2,23,7120,address
test,S2,24,4293,address
test,S2,25,2555,address
test,S2,26,1647,address
test,S2,27,976,address
test,S2,28,626,address
test,S2,29,399,address
test,S2,30,245,address
test,S2,31,196,address
test,S2,32,92,address
test,S2,33,74,address
test,S2,34,61,address
test,S2,35,46,address
test,S2,36,27,address
test,S2,37,19,address
test,S2,38,20,address
test,S2,39,11,address
test,S2,40,26,address
test,S2,1,87046,name
test,S2,2,682345,name
test,S2,3,1383628,name
test,S2,4,1713380,name
test,S2,5,778649,name
test,S2,6,194413,name
test,S2,7,37356,name
test,S2,8,7908,name
test,S2,9,1865,name
test,S2,10,435,name
test,S2,11,147,name
test,S2,12,57,name
test,S2,13,25,name
test,S2,14,12,name
test,S2,15,7,name
test,S3,,136098,address
test,S3,1,144,address
test,S3,2,757,address
test,S3,3,42149,address
test,S3,4,205070,address
test,S3,5,910041,address
test,S3,6,899681,address
test,S3,7,656237,address
test,S3,8,474583,address
test,S3,9,351809,address
test,S3,10,276606,address
test,S3,11,229446,address
test,S3,12,193051,address
test,S3,13,162296,address
test,S3,14,133559,address
test,S3,15,108371,address
test,S3,16,83818,address
test,S3,17,63797,address
test,S3,18,47772,address
test,S3,19,34347,address
test,S3,20,25003,address
test,S3,21,16791,address
test,S3,22,11495,address
test,S3,23,7347,address
test,S3,24,4775,address
test,S3,25,2801,address
test,S3,26,1724,address
test,S3,27,993,address
test,S3,28,628,address
test,S3,29,367,address
test,S3,30,256,address
test,S3,31,156,address
test,S3,32,126,address
test,S3,33,56,address
test,S3,34,34,address
test,S3,35,47,address
test,S3,36,30,address
test,S3,37,7,address
test,S3,38,13,address
test,S3,39,10,address
test,S3,40,25,address
test,S3,1,153699,name
test,S3,2,702823,name
test,S3,3,1384641,name
test,S3,4,1697536,name
test,S3,5,807235,name
test,S3,6,234032,name
test,S3,7,65851,name
test,S3,8,26478,name
test,S3,9,7930,name
test,S3,10,1642,name
test,S3,11,320,name
test,S3,12,75,name
test,S3,13,31,name
test,S3,14,12,name
test,S3,15,11,name
train,S1,2,8,address
train,S1,3,236,address
train,S1,4,33626,address
train,S1,5,603702,address
train,S1,6,371958,address
train,S1,7,230374,address
train,S1,8,156357,address
train,S1,9,115797,address
train,S1,10,108630,address
train,S1,11,107227,address
train,S1,12,100386,address
train,S1,13,87926,address
train,S1,14,72509,address
train,S1,15,59330,address
train,S1,16,45272,address
train,S1,17,34344,address
train,S1,18,25231,address
train,S1,19,17972,address
train,S1,20,12781,address
train,S1,21,8513,address
train,S1,22,5519,address
train,S1,23,3533,address
train,S1,24,2152,address
train,S1,25,1269,address
train,S1,26,819,address
train,S1,27,509,address
train,S1,28,292,address
train,S1,29,175,address
train,S1,30,127,address
train,S1,31,90,address
train,S1,32,49,address
train,S1,33,26,address
train,S1,34,23,address
train,S1,35,15,address
train,S1,36,11,address
train,S1,37,11,address
train,S1,38,8,address
train,S1,39,2,address
train,S1,40,12,address
train,S1,1,14598,name
train,S1,2,305023,name
train,S1,3,687059,name
train,S1,4,895922,name
train,S1,5,255352,name
train,S1,6,40888,name
train,S1,7,6083,name
train,S1,8,1332,name
train,S1,9,359,name
train,S1,10,121,name
train,S1,11,53,name
train,S1,12,14,name
train,S1,13,8,name
train,S1,14,4,name
train,S1,15,5,name
train,S2,,168967,address
train,S2,2,126,address
train,S2,3,14475,address
train,S2,4,202016,address
train,S2,5,1386114,address
train,S2,6,975924,address
train,S2,7,457942,address
train,S2,8,274691,address
train,S2,9,227010,address
train,S2,10,217946,address
train,S2,11,211865,address
train,S2,12,194210,address
train,S2,13,167769,address
train,S2,14,138480,address
train,S2,15,109118,address
train,S2,16,84043,address
train,S2,17,62816,address
train,S2,18,45977,address
train,S2,19,32698,address
train,S2,20,22300,address
train,S2,21,14815,address
train,S2,22,9581,address
train,S2,23,5980,address
train,S2,24,3683,address
train,S2,25,2210,address
train,S2,26,1396,address
train,S2,27,888,address
train,S2,28,550,address
train,S2,29,349,address
train,S2,30,254,address
train,S2,31,152,address
train,S2,32,76,address
train,S2,33,47,address
train,S2,34,44,address
train,S2,35,28,address
train,S2,36,21,address
train,S2,37,15,address
train,S2,38,11,address
train,S2,39,6,address
train,S2,40,23,address
train,S2,1,106469,name
train,S2,2,864085,name
train,S2,3,1368882,name
train,S2,4,1719991,name
train,S2,5,736124,name
train,S2,6,188701,name
train,S2,7,38940,name
train,S2,8,8755,name
train,S2,9,1955,name
train,S2,10,502,name
train,S2,11,131,name
train,S2,12,48,name
train,S2,13,16,name
train,S2,14,7,name
train,S2,15,10,name
train,S3,,175916,address
train,S3,1,1,address
train,S3,2,523,address
train,S3,3,38213,address
train,S3,4,214300,address
train,S3,5,1174876,address
train,S3,6,1096611,address
train,S3,7,708688,address
train,S3,8,428658,address
train,S3,9,285145,address
train,S3,10,211393,address
train,S3,11,180489,address
train,S3,12,160263,address
train,S3,13,138457,address
train,S3,14,116134,address
train,S3,15,93190,address
train,S3,16,73176,address
train,S3,17,55370,address
train,S3,18,41607,address
train,S3,19,30323,address
train,S3,20,21224,address
train,S3,21,14591,address
train,S3,22,9733,address
train,S3,23,6360,address
train,S3,24,4019,address
train,S3,25,2407,address
train,S3,26,1480,address
train,S3,27,925,address
train,S3,28,524,address
train,S3,29,335,address
train,S3,30,231,address
train,S3,31,132,address
train,S3,32,96,address
train,S3,33,65,address
train,S3,34,45,address
train,S3,35,26,address
train,S3,36,14,address
train,S3,37,19,address
train,S3,38,19,address
train,S3,39,7,address
train,S3,40,18,address
train,S3,1,179441,name
train,S3,2,887170,name
train,S3,3,1374041,name
train,S3,4,1703913,name
train,S3,5,774302,name
train,S3,6,240754,name
train,S3,7,77365,name
train,S3,8,34368,name
train,S3,9,11057,name
train,S3,10,2524,name
train,S3,11,484,name
train,S3,12,114,name
train,S3,13,43,name
train,S3,14,16,name
train,S3,15,11,name
